first_day_in_week,last_day_in_week,EFNC_main_symb_weekly_mean_diff,LDER.TA_weekly_mean_diff_0.41,OPAL.TA_weekly_mean_diff_0.41,OPAL.TA_weekly_mean_diff_0.41_INT_ZUR.TA_weekly_mean_diff_0.37_corr_0.71,KNFM.TA_weekly_mean_diff_0.42
2020-01-26,2020-02-01,43.8,0.019999694824221592,-3.420001220703125,4.10400146484375,0.6
2020-02-02,2020-02-08,16.4,-0.3199996948242216,-2.1400024414062386,27.392031249999857,-11.6
2020-02-09,2020-02-15,-76.6,0.5199996948242216,2.4400024414062385,43.43204345703105,-12.4
2020-02-16,2020-02-22,113.4,0.919999694824216,5.379998779296875,53.79998779296875,-10.2
2020-02-23,2020-02-29,-27.75,-0.11999969482421875,-2.8,100.8,-28.6
2020-03-01,2020-03-07,-331.75,-2.5249996185302734,-21.25,1221.875,-60.05000305175781
2020-03-08,2020-03-14,-114.4,-3.8000001907348633,-30.499999999999993,3421.3375930786124,-93.34999084472656
2020-03-15,2020-03-21,23.8,-0.4400001525878906,-13.87999877929688,243.73274467773743,-20.32000732421874
2020-03-22,2020-03-28,-43.6,-0.31999969482421875,10.960000610351562,165.05758243408053,-4.8
2020-03-29,2020-04-04,-14.666666666666664,0.41999969482421873,6.119998168945324,62.6687961914019,11.220001220703114
2020-04-05,2020-04-11,70.66666666666667,1.5333340962727864,2.266672770182273,78.57798936631879,15.43333943684892
2020-04-12,2020-04-18,0.8,0.1999994913736979,-0.2666727701822727,5.502350328282787,36.33333333333337
2020-04-19,2020-04-25,101.66666666666669,0.7200004577636705,1.6600036621093637,5.212415551766718,-16.74000244140625
2020-04-26,2020-05-02,30.4,2.366666158040367,6.066660563151042,327.1952016873078,39.599995930989586
2020-05-03,2020-05-09,-4.6,-0.7599998474121094,5.379998779296875,23.026421044915914,-15.6199951171875
2020-05-10,2020-05-16,-11.2,-0.7400001525878906,-7.7199951171875,180.33906708985566,-25.68000488281249
2020-05-17,2020-05-23,-20.0,0.3,-0.2,-4.4799999999999995,10.480004882812466
2020-05-24,2020-05-30,-36.2,-1.5249996185302752,-2.25,43.70625686645508,6.500000000000028
2020-05-31,2020-06-06,5.5,0.37999954223632953,0.45999755859375,-6.614767138659954,-9.64000244140625
2020-06-07,2020-06-13,39.8,-0.125,1.3249969482421875,-15.436206359881908,-7.724998474121094
2020-06-14,2020-06-20,-70.2,0.059999847412109376,-5.15999755859375,93.80878081053496,0.43999633789063636
2020-06-21,2020-06-27,68.59999542236328,-0.2,-3.5200012207031195,55.968019409179604,-8.0
2020-06-28,2020-07-04,-11.79999542236328,0.18000001907348775,-4.100000190734863,-13.448028465272383,-12.859995651245129
2020-07-05,2020-07-11,171.6,-0.18000001907348775,-1.5799985885620174,15.831581156162741,7.519999313354492
2020-07-12,2020-07-18,72.6,0.3400001525878906,1.1799987792968807,-0.5192023437470491,4.5
2020-07-19,2020-07-25,0.75,2.3200004577636704,1.9600006103515568,16.228790698237713,1.0
2020-07-26,2020-08-01,,-0.4750003814697248,0.9750022888183523,-1.535625629418025,-2.0500030517578125
