first_day_in_week,last_day_in_week,MLSR_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.44_INT_ALRPR.TA_weekly_mean_diff_0.56_corr_0.72,PIU.TA_weekly_mean_diff_0.36,HARL.TA_weekly_mean_diff_0.37,MLTM.TA_weekly_mean_diff_0.37,MZTF.TA_weekly_mean_diff_0.37,SHOM.TA_weekly_mean_diff_0.37,TUZA.TA_weekly_mean_diff_0.37,FIBIH.TA_weekly_mean_diff_0.38,MTRX.TA_weekly_mean_diff_0.38,BIOV.TA_weekly_mean_diff_0.39,LEVI.TA_weekly_mean_diff_0.39,PCBT.TA_weekly_mean_diff_0.39,IBI.TA_weekly_mean_diff_0.41,PHOE.TA_weekly_mean_diff_0.41,ROTS.TA_weekly_mean_diff_0.42,HARL.TA_weekly_mean_diff_0.37_INT_PHOE.TA_weekly_mean_diff_0.41_corr_0.81,OPAL.TA_weekly_mean_diff_0.44,RLCO.TA_weekly_mean_diff_0.48,ALRPR.TA_weekly_mean_diff_0.56,ALRPR.TA_weekly_mean_diff_0.56_INT_HLMS.TA_weekly_mean_diff_0.36_corr_0.71,SHOM.TA_weekly_mean_diff_0.37_INT_OPAL.TA_weekly_mean_diff_0.44_corr_0.77
2019-12-08,2019-12-14,-208.0,-40.39990234375023,6.8,-13.2,32.0,4.8,-5.1,0.5,-26.0,49.4,1.04000244140625,166.0,1.3,-60.8,-9.2,83.4,121.43999999999998,-2.0199951171875115,5.8,20.0,20.0,10.301975097656308
2019-12-15,2019-12-21,-38.0,227.1197509765625,-19.0,-6.6,116.0,-48.0,13.24000244140625,-0.2799995422363281,-56.0,-26.0,1.239996337890625,124.0,-2.4400024414062385,-2.4,-13.4,-26.2,88.44,3.339996337890625,-0.2,68.0,-82.9600830078125,44.22155966795981
2019-12-22,2019-12-28,32.0,-63.84005126953125,5.0,2.4,152.0,24.0,3.6800048828125,-0.28000030517578123,-2.0,29.0,1.660003662109375,-68.0,12.5,17.4,6.4,-14.8,15.36,1.520001220703125,-45.0,-42.0,54.6,5.59361191406846
2019-12-29,2020-01-04,116.0,294.0,10.8,-6.2,408.0,19.0,12.07999267578125,0.14000015258789061,-16.0,77.2,-1.8800048828125,106.0,-3.379998779296886,47.4,-0.8,29.2,4.960000000000001,4.9,-5.4,60.0,-273.599853515625,59.19196411132813
2020-01-05,2020-01-11,-8.0,396.0,3.4,-31.4,220.0,12.0,23.00000000000002,0.5199996948242187,-14.0,-11.0,0.64000244140625,104.0,-0.32000122070311365,-25.4,-20.0,34.0,628.0,9.0,28.6,44.0,147.839892578125,207.0000000000002
2020-01-12,2020-01-18,52.0,-392.9210205078078,2.6,8.8,-78.0,-20.0,-10.739990234375023,0.38000030517578126,-8.0,106.6,1.3,-26.0,4.7,11.6,0.2,12.4,1.7600000000000002,-0.9400024414062387,2.2,418.0,944.6789794921922,10.095617040991684
2020-01-19,2020-01-25,-112.0,20.159692382813457,-0.2,-1.2,1782.0,27.6,-0.84000244140625,-0.6199996948242188,-30.0,3.4,-1.3,-38.0,2.5400024414062385,-22.2,-0.6,32.6,0.72,-0.23999633789063637,-29.2,-84.0,-87.36020507812404,0.20159750975669385
2020-01-26,2020-02-01,118.0,752.4002685546875,-16.6,-40.2,-566.0,12.6,-3.3800048828125,-0.32000045776367186,-36.0,-101.2,-1.75999755859375,-100.0,-0.979998779296875,33.6,-16.2,-17.0,651.24,-3.420001220703125,-8.2,-220.0,365.199462890625,11.559620825201273
2020-02-02,2020-02-08,64.0,132.6801513671868,-17.6,-3.4,604.0,25.4,15.34000244140625,-0.5799995422363281,124.0,-70.4,-1.820001220703125,174.0,-1.920001220703125,-72.0,-8.4,15.4,28.56,-2.1400024414062386,30.0,-62.0,-233.1198486328125,-32.82764267578704
2020-02-09,2020-02-15,56.0,-73.20007324218716,13.6,3.8,-400.0,-17.6,-6.5199951171875,0.1,-166.0,-1.0,-0.34000244140623864,-94.0,2.84000244140625,19.4,15.2,-27.2,57.76,2.4400024414062385,9.6,-30.0,-28.2000732421875,-15.908804003894256
2020-02-16,2020-02-22,-440.0,893.0797973632812,-6.0,21.6,-236.0,-47.6,19.27999267578125,-0.3600006103515625,28.0,18.4,0.4999999999999886,218.0,1.079998779296875,-17.6,7.8,15.4,168.48000000000002,5.379998779296875,-3.6,166.0,-79.68081054687312,103.72633706055582
