first_day_in_week,last_day_in_week,PTBL_main_symb_weekly_mean_diff,SHOM.TA_weekly_mean_diff_0.48_INT_MRIN.TA_weekly_mean_diff_0.36_corr_0.72,ZUR.TA_weekly_mean_diff_0.44_INT_MRIN.TA_weekly_mean_diff_0.36_corr_0.72,FIBIH.TA_weekly_mean_diff_0.41_INT_FIBI.TA_weekly_mean_diff_0.37_corr_0.92
2019-09-01,2019-09-07,-438.700390625,28.951988525390732,7.5200000000000005,1020.0
2019-09-08,2019-09-14,414.72509765625,18.304014648422598,76.56010620117186,453.59999999999997
2019-09-15,2019-09-21,154.83984375,1.901234130840767,1.4625015258789205,1445.0
2019-09-22,2019-09-28,-55.298828125,2.0952121093868548,3.240014648437398,719.1999999999999
2019-09-29,2019-10-05,227.33333333333331,-41.99989318847656,105.0,87.5
2019-10-06,2019-10-12,316.4322916666667,65.78012301979781,22.244472927517318,13257.77777777778
2019-10-13,2019-10-19,98.30078125,20.240094400942326,334.26637098524304,0.0
2019-10-20,2019-10-26,202.7796875,3.1688627116383685,5.366638183594015,1540.0
2019-10-27,2019-11-02,-346.53984375,50.133243847638184,-87.08010253906218,-154.8
2019-11-03,2019-11-09,-51.6203125,47.828818652331826,77.3279736328125,171.2
2019-11-10,2019-11-16,108.76015625,-18.644796435534953,-24.768017578125,3408.0
2019-11-17,2019-11-23,40.53984375,13.47959042966366,-24.2519580078125,-100.80000000000001
2019-11-24,2019-11-30,218.6203125,25.799999999999997,-45.58,10065.6
2019-12-01,2019-12-07,146.0,-12.947225048840046,-12.544013671874998,896.0
2019-12-08,2019-12-14,-228.0,-10.812037353515624,45.792158203125,572.0
2019-12-15,2019-12-21,56.0,7.94400146484375,0.6,4032.0
2019-12-22,2019-12-28,494.0,6.182381249964237,-0.6719970703125,-28.0
2019-12-29,2020-01-04,-164.0,81.41918012693525,49.87601806640625,192.0
2020-01-05,2020-01-11,-12.0,799.0200561523444,-368.2440258789062,-28.0
2020-01-12,2020-01-18,88.0,-172.2694695800544,-67.36801025390615,432.0
2020-01-19,2020-01-25,50.0,-1.1591972167790128,20.42389160156284,-720.0
2020-01-26,2020-02-01,128.0,61.38088041990996,21.7919970703125,1483.2
2020-02-02,2020-02-08,92.0,257.712041015625,-215.04000000000002,4414.400000000001
2020-02-09,2020-02-15,94.0,-144.7438916015625,395.16,7370.4
2020-02-16,2020-02-22,-682.0,339.32787109375005,176.0,896.0
2020-02-23,2020-02-29,-752.5,793.56,1400.3999999999999,12432.0
2020-03-01,2020-03-07,-2412.5,1137.6561641693115,1617.1875,31928.625
2020-03-08,2020-03-14,-1184.0,4725.115740776062,8511.278356552124,175993.75
2020-03-15,2020-03-21,160.0,29.124778369143606,234.60152451172473,38284.0
2020-03-22,2020-03-28,962.0,541.44,216.86396484375,1160.0
2020-03-29,2020-04-04,833.3333333333335,-145.93043959960343,232.0384303222597,-386.08
2020-04-05,2020-04-11,-560.0,444.6665106879341,1328.888888888889,5248.444444444443
2020-04-12,2020-04-18,166.0,-62.5,103.16670735677084,24341.777777777777
2020-04-19,2020-04-25,350.0,178.84012451171873,53.380041503906256,6820.080000000001
2020-04-26,2020-05-02,-154.0,689.1864670138392,1369.9067827690806,14917.777777777777
2020-05-03,2020-05-09,-596.0,37.2488027831912,-17.29123017579317,3248.7999999999997
2020-05-10,2020-05-16,38.0,362.70258974611755,363.9488760253787,18495.96
2020-05-17,2020-05-23,320.0,254.19610107421877,412.6081640625,2504.0
2020-05-24,2020-05-30,-314.0,3.883169097825885,9.226995010394603,245.0
2020-05-31,2020-06-06,352.5,10.5279541015625,-135.17204589843752,2629.4399999999996
2020-06-07,2020-06-13,-384.0,-241.1605324554257,-243.77615783689544,-112.5
2020-06-14,2020-06-20,50.0,-8.064082031249999,-203.6160546875,-34.56
2020-06-21,2020-06-27,-130.00012207031176,46.7039794921875,133.56,2748.48
2020-06-28,2020-07-04,-197.99987792968827,-41.400004119873046,-11.808024444580159,6773.760677490011
2020-07-05,2020-07-11,278.0,50.53438067015726,37.67516434937259,13300.839986572042
2020-07-12,2020-07-18,664.0,-8.236848925799132,2.7456163085998524,-378.28000000000003
2020-07-19,2020-07-25,360.0,126.143857421875,120.88789306640658,2768.32
2020-07-26,2020-08-01,,-42.75,-14.174972534179432,5482.5
