first_day_in_week,last_day_in_week,PLRM_main_symb_weekly_mean_diff,UNON.TA_weekly_mean_diff_0.52,ALRPR.TA_weekly_mean_diff_0.49_INT_MRIN.TA_weekly_mean_diff_0.5_corr_0.72,PHOE.TA_weekly_mean_diff_0.43_INT_HARL.TA_weekly_mean_diff_0.4_corr_0.81
2020-03-08,2020-03-14,-39.8,-93.5,76102.625,5978.6875
2020-03-15,2020-03-21,13.8,-55.6,435.5359204101563,133.39999999999998
2020-03-22,2020-03-28,25.2,0.2,5425.92,2012.8
2020-03-29,2020-04-04,31.0,44.2,4173.9715502929685,-92.88
2020-04-05,2020-04-11,37.333333333333336,16.666666666666668,-4702.222222222223,69.0
2020-04-12,2020-04-18,6.6,5.333333333333333,1425.0,623.3333333333334
2020-04-19,2020-04-25,11.333333333333336,22.0,615.4000000000001,1266.08
2020-04-26,2020-05-02,40.4,45.333333333333336,8229.601318359375,434.8888888888889
2020-05-03,2020-05-09,-1.8,-9.4,768.4084643554686,558.6
2020-05-10,2020-05-16,-5.8,-22.8,3913.6972265624995,1012.3200000000002
2020-05-17,2020-05-23,34.0,11.8,1499.3885961914066,521.6
2020-05-24,2020-05-30,42.2,10.75,-0.0,28.125
2020-05-31,2020-06-06,15.5,6.6,-150.4,638.4
2020-06-07,2020-06-13,34.2,40.5,3792.6568031311035,11.25
2020-06-14,2020-06-20,-33.0,-11.2,1236.48,211.68
2020-06-21,2020-06-27,10.60000762939462,-6.0,918.96,1370.2
2020-06-28,2020-07-04,6.599992370605378,21.00000915527344,253.43975830078125,60.5200331115621
2020-07-05,2020-07-11,9.4,-17.600009155273437,81.9681992185861,57.12006912230448
2020-07-12,2020-07-18,-8.0,0.4,-19.9680078125,-88.8
2020-07-19,2020-07-25,2.25,-4.2,-37.96,89.88
2020-07-26,2020-08-01,,8.5,-1107.0,142.5
