first_day_in_week,last_day_in_week,XENA_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.35_INT_ALRPR.TA_weekly_mean_diff_0.49_corr_0.72,DLEKG.TA_weekly_mean_diff_0.36,SHOM.TA_weekly_mean_diff_0.36,PHOE.TA_weekly_mean_diff_0.37,ELRN.TA_weekly_mean_diff_0.38,PCBT.TA_weekly_mean_diff_0.38,CLIS.TA_weekly_mean_diff_0.39,RPAC.TA_weekly_mean_diff_0.41,DRSL.TA_weekly_mean_diff_0.42,HARL.TA_weekly_mean_diff_0.42,MTRX.TA_weekly_mean_diff_0.45,ALRPR.TA_weekly_mean_diff_0.49,PHOE.TA_weekly_mean_diff_0.37_INT_HARL.TA_weekly_mean_diff_0.42_corr_0.81
2019-10-27,2019-11-02,-0.4499969482421875,31.5999755859375,-206.0,8.05999755859375,-14.6,-1.879998779296875,-3.2399963378906365,6.4,12.4,9.6,-31.8,26.2,20.0,464.28
2019-11-03,2019-11-09,1.25,-73.44012451171875,1128.0,6.6800048828125,-30.8,-2.820001220703125,0.920001220703125,-21.6,-1.0,1.0,0.2,-77.8,-102.0,-6.16
2019-11-17,2019-11-23,-0.16000061035156818,134.1599365234375,-134.0,4.7800048828125,3.6,3.620001220703125,-8.679998779296875,19.2,-1.6,1.2,7.8,45.2,52.0,28.08
2019-11-24,2019-11-30,0.0,68.64016113281251,-28.0,-6.0,31.0,3.0,-2.620001220703125,71.0,1.2,7.2,9.2,-104.2,132.0,285.2
2019-12-01,2019-12-07,-1.050003051757784,11.399963378906364,-560.0,-5.7800048828125,-1.4,-6.9,-0.720001220703125,-81.0,-6.4,-3.0,-26.8,43.8,10.0,37.519999999999996
2019-12-08,2019-12-14,-0.8399993896484432,-40.39990234375023,182.0,-5.1,-9.2,9.7800048828125,1.3,13.2,-7.6,-2.2,-13.2,49.4,20.0,121.43999999999998
2019-12-29,2020-01-04,1.5,294.0,1900.0,12.07999267578125,-0.8,9.3,-3.379998779296886,15.0,9.2,6.8,-6.2,77.2,60.0,4.960000000000001
2020-01-05,2020-01-11,0.020001220703125,396.0,-262.0,23.00000000000002,-20.0,2.4199951171875,-0.32000122070311365,-83.6,-1.8,-7.8,-31.4,-11.0,44.0,628.0
2020-01-12,2020-01-18,-0.220001220703125,-392.9210205078078,-440.0,-10.739990234375023,0.2,2.860009765625,4.7,-37.0,0.4,3.0,8.8,106.6,418.0,1.7600000000000002
2020-01-19,2020-01-25,0.0,20.159692382813457,-228.0,-0.84000244140625,-0.6,0.15999755859375,2.5400024414062385,33.6,11.6,-2.2,-1.2,3.4,-84.0,0.72
2020-01-26,2020-02-01,0.4399993896484432,752.4002685546875,-1572.0,-3.3800048828125,-16.2,-2.92000732421875,-0.979998779296875,-73.6,52.4,-0.6,-40.2,-101.2,-220.0,651.24
2020-02-02,2020-02-08,-1.9000000000000028,132.6801513671868,60.0,15.34000244140625,-8.4,-9.3199951171875,-1.920001220703125,-52.8,6.0,-21.4,-3.4,-70.4,-62.0,28.56
2020-02-09,2020-02-15,1.1399993896484346,-73.20007324218716,-288.0,-6.5199951171875,15.2,3.8400024414062273,2.84000244140625,-27.2,7.0,2.0,3.8,-1.0,-30.0,57.76
2020-02-16,2020-02-22,7.480001831054688,893.0797973632812,-142.0,19.27999267578125,7.8,23.900000000000023,1.079998779296875,45.6,35.8,27.0,21.6,18.4,166.0,168.48000000000002
2020-02-23,2020-02-29,-3.35000228881836,1226.3999999999999,-1732.0,-20.4,-42.6,7.65999755859375,-6.279998779296875,-111.8,-50.4,-17.2,-81.4,-108.0,-438.0,3467.6400000000003
2020-03-01,2020-03-07,-9.799999237060543,18912.5,-1590.0,-40.44999694824219,-60.5,-20.75,-13.200004577636719,-163.75,-48.0,-27.0,-65.75,-163.25,-890.0,3977.875
2020-03-08,2020-03-14,-2.1199996948242217,30591.499999999993,-5595.0,-62.275001525878906,-72.25,-26.550003051757784,-19.875,-274.25,-123.0,-60.8999938964844,-82.75,-328.0,-1003.0,5978.6875
2020-03-15,2020-03-21,5.500001525878906,452.4879602050783,2190.0,-2.179998779296875,4.6,-7.179998779296898,-10.879998779296875,42.6,-6.6,-17.560009765624955,29.0,127.0,-32.6,133.39999999999998
2020-03-22,2020-03-28,1.879998779296875,4129.728229980468,-1332.6,37.6,54.4,8.100006103515625,5.6,36.0,21.6,26.480004882812477,37.0,95.6,376.8,2012.8
2020-03-29,2020-04-04,4.766667683919271,1127.3036627197287,256.6,-6.44000244140625,10.8,4.159997558593727,21.3,82.8,36.6,11.6,-8.6,77.4,184.2,-92.88
2020-04-05,2020-04-11,0.0,-278.0451931423588,1833.3333333333333,11.599995930989584,7.666666666666667,5.266662597656288,2.3333333333333335,107.0,34.0,35.0,9.0,93.0,-122.66666666666667,69.0
2020-04-12,2020-04-18,0.5399993896484375,76.00173950194772,63.333333333333336,12.5,11.333333333333334,-1.1666666666666667,-0.3333333333333333,0.6666666666666666,3.0,21.0,55.0,2.6666666666666665,-285.0,623.3333333333334
2020-04-19,2020-04-25,-0.5333353678385416,60.09213256835897,-106.0,10.52000732421875,32.8,-0.44000244140622724,2.5599975585937615,18.6,7.6,-11.2,38.6,86.8,36.2,1266.08
2020-04-26,2020-05-02,-1.9,1965.5980224609375,-56.666666666666664,27.133321126302082,12.666666666666666,12.533345540364545,1.1000061035156061,113.33333333333333,18.666666666666668,-4.0,34.333333333333336,33.0,324.0,434.8888888888889
2020-05-03,2020-05-09,-1.1,-1023.2757678222655,-512.0,-9.2199951171875,-26.6,0.8199951171875,3.1399963378906364,1.4,16.4,-25.6,-21.0,-77.0,-190.2,558.6
2020-05-10,2020-05-16,0.34000244140625,1939.2627734374998,-786.0,-23.2800048828125,-34.2,-5.9,1.6800048828124887,-69.2,0.6,1.0,-29.6,-20.2,-251.2,1012.3200000000002
2020-05-17,2020-05-23,0.4749984741210938,-16.28,28.0,13.8,16.0,4.45999755859375,4.539996337890625,-22.2,17.4,4.2,32.6,128.2,81.4,521.6
2020-05-24,2020-05-30,1.1600006103515623,-0.0,-37.5,-8.17498779296875,7.5,5.725006103515625,4.625,-20.5,28.75,-9.0,3.75,208.5,0.0,28.125
2020-05-31,2020-06-06,0.22499847412109372,-7.3599609375,1.0,1.1199951171875,-28.0,-1.6800048828125,-0.32000122070311365,-25.0,-24.4,4.0,-22.8,-36.8,-16.0,638.4
2020-06-07,2020-06-13,1.520001220703125,240.15569686889648,91.25,-11.524993896484375,11.25,-2.1999969482421875,1.2000045776367045,51.5,11.75,13.0,1.0,59.5,181.25,11.25
2020-06-14,2020-06-20,0.8399993896484375,-569.66373046875,176.0,-0.72000732421875,12.6,0.84000244140625,-1.820001220703125,76.2,76.8,-1.8,16.8,50.0,110.4,211.68
2020-06-21,2020-06-27,0.08000097274779705,385.0881335449213,-468.0,-5.55999755859375,-44.2,3.8199951171875,1.64000244140625,-85.2,-49.4,-17.8,-31.0,-103.0,-109.4,1370.2
2020-06-28,2020-07-04,0.6199990272522029,288.6397381591669,-122.39993286132812,11.500001144409179,3.399999237060547,-0.35999603271484376,-3.0400062561035157,16.19998474121103,-2.3999923706054687,-10.600001525878884,17.800013732910248,-2.6,-70.39993286132812,60.5200331115621
2020-07-05,2020-07-11,3.3399993896484377,34.44407530965878,-204.4000671386719,-13.440003585815429,-5.599999237060547,3.199998474121094,0.46000137329102697,-44.39998474121103,2.599992370605469,3.4000015258788836,-10.200013732910246,20.0,-21.800067138671874,57.12006912230448
2020-07-12,2020-07-18,-0.0399993896484375,3.7759960937500185,52.0,1.32000732421875,22.2,21.34000244140625,-9.959997558593761,-0.6,6.0,23.6,-4.0,42.0,3.2,-88.8
2020-07-19,2020-07-25,-0.9500007629394532,-5.096001586914048,148.2,8.639990234375,4.2,7.87999267578125,10.120001220703125,-4.0,4.6,-14.2,21.4,58.0,-2.6,89.88
2020-07-26,2020-08-01,,-119.92528152465732,-57.0,-4.75,5.0,-2.5999908447265625,-0.7750015258789062,27.5,-15.75,-16.425003051757812,28.5,157.75,-123.0,142.5
