first_day_in_week,last_day_in_week,EMTC_main_symb_weekly_mean_diff,ORL.TA_weekly_mean_diff_0.45,PRSK.TA_weekly_mean_diff_0.46,DLEKG.TA_weekly_mean_diff_0.52,DANH.TA_weekly_mean_diff_0.37_INT_SNCM.TA_weekly_mean_diff_0.36_corr_0.72,ZUR.TA_weekly_mean_diff_0.35_INT_MGDL.TA_weekly_mean_diff_0.44_corr_0.72,ISRS.TA_weekly_mean_diff_0.37_INT_GOHO.TA_weekly_mean_diff_0.37_corr_0.81,MTDS.TA_weekly_mean_diff_0.36_INT_ISRS.TA_weekly_mean_diff_0.37_corr_0.74
2019-06-30,2019-07-06,0.220001220703125,-0.4799987792968807,25.8,0.0,-0.20400207519529318,17.16,-604.8,-655.2
2019-07-07,2019-07-13,-1.6800003051757812,-0.12000122070311932,18.8,-248.0,1.2239978027343954,-21.840000000000003,-404.8,-754.4
2019-07-14,2019-07-20,-0.28000030517578123,0.2,37.2,-1640.0,0.24,54.752396997064444,-2006.8,6089.6
2019-07-21,2019-07-27,-0.2,1.3200012207031193,24.0,552.0,0.84,23.491572729498305,-327.6,780.0
2019-07-28,2019-08-03,0.21999969482421874,0.27999877929688066,31.8,-190.0,0.95999755859375,18.479992675781283,-8013.6,5724.0
2019-08-04,2019-08-10,0.9600006103515624,0.0,0.8,-822.0,-2.64,39.312041015624814,2877.6,-1220.8
2019-08-11,2019-08-17,-1.2,-2.5,7.2,-660.0,7.260006713867188,17.133590917959864,4165.2,640.8
2019-08-18,2019-08-24,0.01999969482421875,1.1399993896484375,177.6,168.0,2.336000976562491,11.872791796848247,2672.0,3473.6
2019-08-25,2019-08-31,-0.1600006103515625,-1.4199981689453125,17.4,512.0,67.3479724121095,-1.384884814471005,-28.8,-240.0
2019-09-01,2019-09-07,0.3600006103515625,0.779998779296875,-25.0,-536.0,-24.82,2.9120019531250003,856.8000000000001,-897.6
2019-09-08,2019-09-14,1.8999996185302732,-1.4,7.2,-334.0,-0.9,13.92,7384.0,5225.599999999999
2019-09-15,2019-09-21,3.9600006103515626,2.25,52.5,300.0,4.225009918212891,-2.375,2983.75,-426.25
2019-09-22,2019-09-28,-4.950000762939453,0.4600006103515625,-27.8,-1176.0,-25.439978027343752,7.860003662109374,2430.0,6570.0
2019-09-29,2019-10-05,-0.7333323160807291,0.34999847412109375,-78.0,1250.0,3.399993896484375,101.39996337890625,13200.0,15675.0
2019-10-06,2019-10-12,-0.2666676839192708,0.6000010172526041,-26.333333333333332,-140.0,31.777777777777775,2.4888983832465277,10204.444444444443,5740.0
2019-10-13,2019-10-19,0.8000005086263021,-0.06666564941407198,-42.666666666666664,803.3333333333334,11.79998779296875,184.0886671278212,10096.666666666666,9320.0
2019-10-20,2019-10-26,-0.4,-0.9333343505859281,101.0,-10.0,2.1333550347222223,-18.666666666666664,3120.0,800.0
2019-10-27,2019-11-02,0.18000030517578125,-0.4,-22.4,-206.0,1.8880072021484375,-6.44005126953125,883.2,2925.6
2019-11-03,2019-11-09,-0.8600006103515625,-0.6399993896484375,-6.6,1128.0,0.9119970703124999,-64.584052734375,0.0,290.4
2019-11-10,2019-11-16,0.5,0.25999755859375,-39.4,52.0,-5.40798095703125,11.37603515625,3732.3999999999996,-1388.8000000000002
2019-11-17,2019-11-23,0.2600006103515625,-1.679998779296875,51.6,-134.0,-10.080010986328125,1.20402099609375,1591.2,-8200.800000000001
2019-11-24,2019-11-30,-0.3400009155273437,-0.1,135.4,-28.0,28.9281103515625,28.19597412109375,-403.2,0.0
2019-12-01,2019-12-07,1.9,-0.3,130.4,-560.0,103.12409912109376,4.3679931640625,-5059.2,8432.0
2019-12-08,2019-12-14,-1.3800003051757783,-2.279998779296875,-34.4,182.0,-27.599999999999998,6.48,572.0,561.6
2019-12-15,2019-12-21,1.9200012207031196,0.6399993896484375,-22.6,300.0,-24.8638916015625,-3.679998779296875,5970.8,-202.4
2019-12-22,2019-12-28,-1.0200012207031193,2.2399993896484376,-6.6,-200.0,11.77599609375,0.36000000000000004,-22.0,-198.0
2019-12-29,2020-01-04,1.3600006103515596,0.9399993896484375,248.4,1900.0,32.831982421875004,-13.468009033203126,1148.3999999999999,661.1999999999999
2020-01-05,2020-01-11,0.16000061035155966,0.420001220703125,20.8,-262.0,11.015987548828125,37.94798706054687,-272.0,408.0
2020-01-12,2020-01-18,-0.3600006103515597,-2.3399993896484377,-35.0,-440.0,-1.5599761962890624,2.1,-4200.0,-1600.0
2020-01-19,2020-01-25,0.08000030517578123,-0.9,42.0,-228.0,-3.36,5.920000000000001,0.0,20753.600000000002
2020-01-26,2020-02-01,-0.3,-1.9600006103515626,-106.6,-1572.0,11.467982788085939,5.64,12904.800000000001,8829.6
2020-02-02,2020-02-08,-0.1199996948242216,-2.2600006103515624,-53.4,60.0,-33.39601684570313,46.080000000000005,-100.0,-4.0
2020-02-09,2020-02-15,-0.9400009155273408,-1.1,-40.4,-288.0,9.839996337890625,0.71204345703125,-3977.9999999999995,-3587.9999999999995
2020-02-16,2020-02-22,0.4400009155273409,-1.3,120.2,-142.0,16.4,41.79998779296875,-2173.6000000000004,0.0
2020-02-23,2020-02-29,-0.15000152587889914,-2.2,-95.8,-1732.0,146.26004333496095,217.4400878906248,23832.0,19330.399999999998
2020-03-01,2020-03-07,0.0,-1.3500003814697266,-140.0,-1590.0,-14.218735694885298,413.9998245239266,3643.75,8800.0
2020-03-08,2020-03-14,-4.600000000000003,-9.149999618530273,-381.25,-5595.0,2466.7502975463854,2543.5685365295494,472995.0174331665,615521.875
2020-03-15,2020-03-21,3.520001220703122,-0.7800003051757812,79.0,2190.0,14.135992431640625,-81.4784315429628,8450.79638671875,-0.0
2020-03-22,2020-03-28,-0.7400009155273409,-2.1799995422363283,21.8,-1332.6,18.495987548828122,-13.85521613769233,35890.19616699219,15762.803833007812
2020-03-29,2020-04-04,2.6999994913737027,6.320000457763669,14.6,256.6,9.864016723632812,41.57441616211087,56787.2,44757.27543945312
2020-04-05,2020-04-11,2.5333353678385317,5.099998474121098,102.66666666666667,1833.3333333333333,116.66666666666667,145.5998942057295,9441.11111111111,15431.341281467014
2020-04-12,2020-04-18,0.7599990844726591,-2.3666661580403647,109.0,63.333333333333336,154.66666666666666,22.6965916612086,51520.0,26058.684895833332
2020-04-19,2020-04-25,-0.16666666666666666,0.6,-34.4,-106.0,4.32,11.2412049072236,-753.6,9193.917700195312
2020-04-26,2020-05-02,1.2,-2.266667683919266,181.66666666666666,-56.666666666666664,117.3333740234373,438.6576349555209,23697.777777777777,6778.65993923611
2020-05-03,2020-05-09,-0.1399993896484375,0.3400009155273409,-133.4,-512.0,6.032005310058577,-7.276008300781251,2056.4,-2560.7999999999997
2020-05-10,2020-05-16,0.3800003051757784,-0.48000030517578124,-59.8,-786.0,31.963996276855465,118.66875908203437,6608.0,9779.842016601562
2020-05-17,2020-05-23,-1.2250003814697228,0.46000061035155965,17.8,28.0,-13.456007080078091,76.16,-9490.0,-6162.003173828125
2020-05-24,2020-05-30,-1.2199996948242215,-3.225000381469723,12.5,-37.5,8.77499485015874,55.84688377380371,23580.0,-2849.2589950561523
2020-05-31,2020-06-06,-1.375,0.1,17.4,1.0,-0.0,-5.752001953125,32004.0,1270.0
2020-06-07,2020-06-13,0.1199996948242216,-0.8000011444091797,-44.0,91.25,4.500007629394531,1.4562492370605469,-1171.875,-3335.9384536743164
2020-06-14,2020-06-20,-0.08000030517578123,-2.4399993896484373,-34.6,176.0,3.8759988403320307,-9.09000244140625,4176.0,-7526.083398437489
2020-06-21,2020-06-27,-2.27999978065491,-0.3399993896484375,-186.2,-468.0,3.2,58.51198059082041,8780.800000000001,9357.041674804672
2020-06-28,2020-07-04,0.2999994754791288,0.5399999618530273,59.19998168945331,-122.39993286132812,-8.800007858278114,3.2799989700155905,-5641.5957031227645,8765.127939454822
2020-07-05,2020-07-11,0.2,-1.8400007247924806,-77.39998168945331,-204.4000671386719,-5.493167554959654e-07,16.432795693588126,1594.6439721696079,1701.2848254423561
2020-07-12,2020-07-18,-0.3399993896484375,1.020000457763669,172.2,52.0,-0.0,-0.19360214844347048,6772.079150390625,3814.079150390633
2020-07-19,2020-07-25,0.02499961853027344,0.5199996948242216,-10.4,148.2,15.444006042480469,34.94155393067757,9222.400000000001,-9620.645117187476
2020-07-26,2020-08-01,,-1.8000001907348633,-43.25,-57.0,-1.125,-2.6774960136389807,-22.5,13.75
