first_day_in_week,last_day_in_week,GOHO_main_symb_weekly_mean_diff,SHGR.TA_weekly_mean_diff_0.37,BIOV.TA_weekly_mean_diff_0.38,PHOE.TA_weekly_mean_diff_0.38,TUZA.TA_weekly_mean_diff_0.39,ALRPR.TA_weekly_mean_diff_0.47,ALRPR.TA_weekly_mean_diff_0.47_INT_OPAL.TA_weekly_mean_diff_0.36_corr_0.72
2019-08-04,2019-08-10,-7.8,-0.2,-3.560003662109375,-20.802001953125,1.18000030517578,156.0,-127.9201904296875
2019-08-11,2019-08-17,8.0,-3.4,-0.05999755859375,-5.7780029296875,-0.020000457763670453,-114.0,11.4
2019-08-18,2019-08-24,-1.8,17.4,-0.9,14.4459716796875,-0.3,80.0,-520.0
2019-08-25,2019-08-31,4.2,11.2,1.9200012207031136,1.156005859375,-0.059999847412109376,34.0,-102.0
2019-09-01,2019-09-07,13.0,-12.6,-0.32000122070311365,4.622021484375,-0.8599998474121093,0.0,0.0
2019-09-08,2019-09-14,3.5,8.4,0.4799987792968864,5.777978515625,0.45999984741210936,36.0,46.0799560546875
2019-09-15,2019-09-21,5.4,-4.5,0.125,12.52252197265625,-0.05000019073486328,95.0,38.000144958496094
2019-09-22,2019-09-28,-24.0,5.2,-1.5200012207031364,8.2,-0.17999954223632814,-10.0,18.0
2019-09-29,2019-10-05,10.666666666666666,-6.0,-3.149993896484375,-20.5,-0.20000076293945312,-20.0,26.00006103515625
2019-10-06,2019-10-12,13.0,8.333333333333334,3.6666666666666665,0.3333333333333333,0.599999745686849,250.0,175.0005086263021
2019-10-13,2019-10-19,13.0,17.333333333333332,3.466664632161477,22.333333333333332,-0.09999974568684895,-6.666666666666667,-5.555555555555556
2019-10-20,2019-10-26,3.2,-7.666666666666667,-2.466664632161477,-4.0,-0.5333328247070312,-90.0,-240.0
2019-10-27,2019-11-02,0.0,-5.6,-1.25999755859375,-14.6,-0.020000457763671875,20.0,31.5999755859375
2019-11-03,2019-11-09,-8.6,-1.8,-1.74000244140625,-30.8,0.3599998474121094,-102.0,-73.44012451171875
2019-11-10,2019-11-16,2.6,-6.2,-1.2399993896484376,1.2,0.0,-54.0,-49.68006591796875
2019-11-17,2019-11-23,-5.6,2.2,2.0800018310546875,3.6,-0.4799995422363281,52.0,134.1599365234375
2019-11-24,2019-11-30,4.8,-21.6,6.439996337890625,31.0,-0.12000045776367188,132.0,68.64016113281251
2019-12-01,2019-12-07,-11.0,-1.0,-1.279998779296875,-1.4,0.1,10.0,11.399963378906364
2019-12-08,2019-12-14,11.8,-0.4,1.04000244140625,-9.2,0.5,20.0,-40.39990234375023
2019-12-15,2019-12-21,-0.2,13.0,1.239996337890625,-13.4,-0.2799995422363281,68.0,227.1197509765625
2019-12-22,2019-12-28,6.6,-1.4,1.660003662109375,6.4,-0.28000030517578123,-42.0,-63.84005126953125
2019-12-29,2020-01-04,2.0,5.0,-1.8800048828125,-0.8,0.14000015258789061,60.0,294.0
2020-01-05,2020-01-11,-4.2,7.8,0.64000244140625,-20.0,0.5199996948242187,44.0,396.0
2020-01-12,2020-01-18,0.0,-4.2,1.3,0.2,0.38000030517578126,418.0,-392.9210205078078
2020-01-19,2020-01-25,-11.4,2.4,-1.3,-0.6,-0.6199996948242188,-84.0,20.159692382813457
2020-01-26,2020-02-01,10.0,-9.8,-1.75999755859375,-16.2,-0.32000045776367186,-220.0,752.4002685546875
2020-02-02,2020-02-08,-10.2,-17.2,-1.820001220703125,-8.4,-0.5799995422363281,-62.0,132.6801513671868
2020-02-09,2020-02-15,-4.4,14.8,-0.34000244140623864,15.2,0.1,-30.0,-73.20007324218716
2020-02-16,2020-02-22,-18.0,-8.8,0.4999999999999886,7.8,-0.3600006103515625,166.0,893.0797973632812
2020-02-23,2020-02-29,-13.25,-20.0,0.560003662109375,-42.6,0.24000015258789062,-438.0,1226.3999999999999
2020-03-01,2020-03-07,-82.80000305175781,-31.074996948242188,-8.925003051757812,-60.5,-1.175000190734865,-890.0,18912.5
2020-03-08,2020-03-14,-11.4199951171875,-38.67500305175781,-16.549999237060547,-72.25,0.10000038146972834,-1003.0,30591.499999999993
2020-03-15,2020-03-21,22.85999755859375,17.15999755859375,-4.380001831054687,4.6,-0.41999969482421873,-32.6,452.4879602050783
2020-03-22,2020-03-28,30.4,35.84000244140625,5.0800018310546875,54.4,1.1399993896484375,376.8,4129.728229980468
2020-03-29,2020-04-04,9.666666666666666,3.4,11.539999389648438,10.8,-0.21999969482421874,184.2,1127.3036627197287
2020-04-05,2020-04-11,-23.0,-7.666666666666667,-4.799997965494801,7.666666666666667,-0.7666664123535156,-122.66666666666667,-278.0451931423588
2020-04-12,2020-04-18,0.8,8.0,4.266662597656269,11.333333333333334,0.5333328247070312,-285.0,76.00173950194772
2020-04-19,2020-04-25,14.333333333333336,19.8,-1.9199981689453183,32.8,0.4400001525878906,36.2,60.09213256835897
2020-04-26,2020-05-02,-10.6,12.333333333333334,3.899998982747396,12.666666666666666,0.3333333333333333,324.0,1965.5980224609375
2020-05-03,2020-05-09,-8.0,-10.2,-2.2,-26.6,-0.04000015258789062,-190.2,-1023.2757678222655
2020-05-10,2020-05-16,14.6,-15.8,-0.6799987792968807,-34.2,1.1599998474121094,-251.2,1939.2627734374998
2020-05-17,2020-05-23,24.0,14.0,0.019998168945318185,16.0,2.8400001525878906,81.4,-16.28
2020-05-24,2020-05-30,-25.2,-11.5,-2.424999237060547,7.5,-0.25,0.0,-0.0
2020-05-31,2020-06-06,3.75,2.2,0.4399993896484375,-28.0,-0.27999954223632956,-16.0,-7.3599609375
2020-06-07,2020-06-13,-9.0,-11.75,1.4500007629394531,11.25,0.34999942779541193,181.25,240.15569686889648
2020-06-14,2020-06-20,-12.8,-22.6,-1.1399993896484375,12.6,0.04000015258789062,110.4,-569.66373046875
2020-06-21,2020-06-27,-8.199990844726562,9.2,2.079998779296875,-44.2,0.5800003051757798,-109.4,385.0881335449213
2020-06-28,2020-07-04,-12.860006713867188,3.400002288818359,-0.2200000762939453,3.399999237060547,-0.24000043869018411,-70.39993286132812,288.6397381591669
2020-07-05,2020-07-11,19.45999755859375,-3.2000022888183595,0.02000007629394531,-5.599999237060547,0.34000043869018415,-21.800067138671874,34.44407530965878
2020-07-12,2020-07-18,-8.8,45.0,7.060000610351563,22.2,0.23999938964843892,3.2,3.7759960937500185
2020-07-19,2020-07-25,4.5,16.8,2.120001220703114,4.2,1.7400009155273437,-2.6,-5.096001586914048
2020-07-26,2020-08-01,,-17.5,-0.02500152587889204,5.0,0.0,-123.0,-119.92528152465732
