first_day_in_week,last_day_in_week,HGG_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.56_INT_SHOM.TA_weekly_mean_diff_0.39_corr_0.72,CLIS.TA_weekly_mean_diff_0.39,ELCRE.TA_weekly_mean_diff_0.39,HOD.TA_weekly_mean_diff_0.39,SHOM.TA_weekly_mean_diff_0.39,ZUR.TA_weekly_mean_diff_0.39,LDER.TA_weekly_mean_diff_0.4,ROTS.TA_weekly_mean_diff_0.4,SHGR.TA_weekly_mean_diff_0.4,PCBT.TA_weekly_mean_diff_0.41,FIBI.TA_weekly_mean_diff_0.45,HARL.TA_weekly_mean_diff_0.45,FIBIH.TA_weekly_mean_diff_0.46,PHOE.TA_weekly_mean_diff_0.46,PIU.TA_weekly_mean_diff_0.46,IES.TA_weekly_mean_diff_0.48,ALRPR.TA_weekly_mean_diff_0.56,ALRPR.TA_weekly_mean_diff_0.56_INT_FIBIH.TA_weekly_mean_diff_0.46_corr_0.73,ALRPR.TA_weekly_mean_diff_0.56_INT_ZUR.TA_weekly_mean_diff_0.39_corr_0.71,PHOE.TA_weekly_mean_diff_0.46_INT_HARL.TA_weekly_mean_diff_0.45_corr_0.83,BSEN.TA_weekly_mean_diff_0.37_INT_ALRPR.TA_weekly_mean_diff_0.56_corr_0.73,AZRM.TA_weekly_mean_diff_0.38_INT_ALRPR.TA_weekly_mean_diff_0.56_corr_0.74
2019-10-06,2019-10-12,37.66667048136393,1725.0010172526042,-7.0,40.333333333333336,-11.666647593180338,6.900004069010417,2.3333333333333335,1.266666412353518,-7.0,8.333333333333334,5.466664632161458,104.66666666666667,-9.0,126.66666666666667,0.3333333333333333,25.333333333333332,66.66666666666667,250.0,31666.666666666668,583.3333333333334,-3.0,47500.0,1516.6676839192708
2019-10-13,2019-10-19,-13.33332061767578,-14.666748046875,66.33333333333333,17.333333333333332,-8.000024159749273,2.20001220703125,36.333333333333336,1.0999997456868489,9.666666666666666,17.333333333333332,0.100006103515625,2.3333333333333335,11.0,0.0,22.333333333333332,2.6666666666666665,250.0,-6.666666666666667,-0.0,-242.22222222222226,245.66666666666666,-444.4444444444445,-62.66669379340278
2019-10-20,2019-10-26,-9.400005340576126,-371.9989013671875,19.333333333333332,5.333333333333333,-3.9999961853028103,4.133321126302083,7.0,0.09999974568684895,1.0,-7.666666666666667,1.1999918619791856,77.0,-5.666666666666667,20.0,-4.0,6.0,96.66666666666667,-90.0,-1800.0,-630.0,22.666666666666668,6600.0,306.0003662109375
2019-10-27,2019-11-02,-7.000007629394622,161.199951171875,6.4,27.4,-20.200004577636765,8.05999755859375,-14.0,0.28000030517578123,-8.6,-5.6,-3.2399963378906365,-25.8,-31.8,6.0,-14.6,1.4,-164.0,20.0,120.0,-280.0,464.28,4880.0,-6.0
2019-11-03,2019-11-09,5.7999992370606375,-681.360498046875,-21.6,-13.4,-15.799999237060547,6.6800048828125,10.8,-1.2,-12.0,-1.8,0.920001220703125,21.4,0.2,8.0,-30.8,15.2,-24.0,-102.0,-816.0,-1101.6000000000001,-6.16,-0.0,683.4
2019-11-10,2019-11-16,-0.5999946594238736,-292.679736328125,-16.6,-33.2,4.8000144958497,5.4199951171875,7.2,0.6599998474121094,-40.4,-6.2,-2.820001220703125,42.6,6.4,80.0,1.2,12.4,-380.0,-54.0,-4320.0,-388.8,7.68,1620.0,190.079736328125
2019-11-17,2019-11-23,5.2000045776366735,248.56025390625,19.2,-4.0,0.5999946594237826,4.7800048828125,-8.6,0.6800003051757798,-2.0,2.2,-8.679998779296875,-8.4,7.8,12.0,3.6,-8.6,278.0,52.0,624.0,-447.2,28.08,10296.0,173.67949218750002
2019-11-24,2019-11-30,4.5999908447265625,-792.0,71.0,7.0,12.999992370605515,-6.0,10.6,0.3,52.2,-21.6,-2.620001220703125,139.8,9.2,72.0,31.0,10.2,-164.0,132.0,9504.0,1399.2,285.2,-38280.0,1153.6803222656251
2019-12-01,2019-12-07,-1.1999893188475652,-57.800048828125,-81.0,-42.4,5.0,-5.7800048828125,-5.6,-0.28000030517577984,27.0,-1.0,-0.720001220703125,-32.0,-26.8,-28.0,-1.4,-13.6,-298.0,10.0,-280.0,-56.0,37.519999999999996,-760.0,-67.5999755859375
2019-12-08,2019-12-14,4.799995422363237,-102.0,13.2,-0.6,41.00000381469722,-5.1,21.6,0.5199996948242187,83.4,-0.4,1.3,-22.0,-13.2,-26.0,-9.2,6.8,356.0,20.0,-520.0,432.0,121.43999999999998,440.0,122.0
