first_day_in_week,last_day_in_week,KMNK-M_main_symb_weekly_mean_diff,SMTO.TA_weekly_mean_diff_-0.35,CFX.TA_weekly_mean_diff_-0.37,GPGB.TA_weekly_mean_diff_0.43,ANGL.TA_weekly_mean_diff_0.44,AVGL.TA_weekly_mean_diff_0.61
2019-11-10,2019-11-16,-9.96000289916993,-0.37999877929688636,2.0,4.6,0.8,-2.6
2019-11-17,2019-11-23,1.3199996948242299,0.2600006103515682,-2.8,4.37999267578125,79.6,-1.2
2019-11-24,2019-11-30,0.460000038146984,-0.9,3.6800048828124887,6.12000732421875,-5.6,1.120001220703125
2019-12-01,2019-12-07,3.8800001144409055,-0.16000061035156818,-5.8800048828124885,3.1199951171875,-64.2,-2.520001220703125
2019-12-08,2019-12-14,-0.07999897003173828,-0.08000183105468181,-3.5599975585937615,0.5,-9.2,-1.0
2019-12-15,2019-12-21,-16.939997673034654,1.4800018310546819,2.920001220703125,0.6199951171875,0.6,-6.65999755859375
2019-12-22,2019-12-28,10.599999427795387,-0.7399993896484318,-0.920001220703125,-7.2199951171875,37.0,-0.14000244140625
2019-12-29,2020-01-04,-0.19999980926513672,0.679998779296875,-5.720001220703125,6.44000244140625,-43.0,4.2
2020-01-05,2020-01-11,-0.22000312805174646,2.2600006103515624,-3.25999755859375,0.67999267578125,23.4,-2.74000244140625
2020-01-12,2020-01-18,-2.779998779296875,-0.720001220703125,1.520001220703125,-0.039990234375,30.8,0.36000366210936363
2020-01-19,2020-01-25,-2.399997711181629,-1.0199981689453126,-4.360003662109375,21.07999267578125,28.8,-1.8
2020-01-26,2020-02-01,-2.622604389064994e-06,-1.3600006103515683,6.9,-7.25999755859375,4.8,-4.360000610351551
2020-02-23,2020-02-29,-6.556510925292969e-07,-1.8,2.24000244140625,-4.35999755859375,49.2,-2.340002441406239
2020-03-01,2020-03-07,0.0,0.02500152587890625,1.6750030517578125,3.5999908447265625,-58.75,-1.0249977111816477
2020-03-29,2020-04-04,-9.6666733423869,0.3199981689453182,-3.0200012207031137,17.5800048828125,-6.6,1.9399993896484375
2020-04-05,2020-04-11,0.0,2.2000020345051894,6.633331298828106,-8.366658528645834,-109.33333333333333,8.333333333333334
2020-04-12,2020-04-18,-2.539997100830078,-4.433334350585928,6.300008138020833,4.866658528645833,0.0,-5.9333343505859375
2020-04-19,2020-04-25,-0.6666660308837891,-0.03999938964844034,5.539996337890625,0.4,56.4,3.0800018310546817
2020-04-26,2020-05-02,-11.520001888275162,5.500000000000004,6.933339436848958,5.099995930989583,2.0,2.1333312988281343
2020-05-03,2020-05-09,-6.299998760223372,-0.5000000000000057,-0.34000244140625,-8.4199951171875,-157.2,-2.3600006103515625
2020-05-10,2020-05-16,46.200001239776604,-1.4800018310546819,-7.5,2.75999755859375,137.0,12.239999389648437
2020-05-17,2020-05-23,,1.720001220703125,2.75999755859375,1.05999755859375,-113.2,5.979998779296875
