first_day_in_week,last_day_in_week,APLY_main_symb_weekly_mean_diff,DISI.TA_weekly_mean_diff_0.37,ECP.TA_weekly_mean_diff_0.37,MTRX.TA_weekly_mean_diff_0.42,TLRD.TA_weekly_mean_diff_0.43,AICS.TA_weekly_mean_diff_0.51,SHAN.TA_weekly_mean_diff_0.51
2019-09-29,2019-10-05,-0.3000005086262973,0.1500244140625,-44.5,23.0,-0.6000022888183523,-5.0,-6.200012207031222
2019-10-06,2019-10-12,0.5333328247070265,-4.800008138020833,-10.333333333333334,34.666666666666664,-0.09999847412109848,-5.333333333333333,4.066670735677064
2019-10-13,2019-10-19,-0.2999979654947917,4.833333333333333,95.33333333333333,32.666666666666664,0.5,-2.0,3.9000040690103788
2019-10-20,2019-10-26,1.4599990844726562,-1.0999959309896212,-83.33333333333333,58.0,8.199999491373703,7.0,-1.8333333333333333
2019-10-27,2019-11-02,1.0,15.159997558593773,30.6,26.2,-1.0800003051757812,1.0,-2.199999999999977
2019-11-03,2019-11-09,1.5,-2.9,-28.6,-77.8,2.479998779296875,6.8,-8.7
2019-11-10,2019-11-16,0.1,-9.5,20.8,117.6,-0.3199981689453182,-0.8,0.7199951171875114
2019-11-17,2019-11-23,0.18000030517578125,8.0,86.2,45.2,-0.23999938964843182,-1.2,1.7600036621093635
2019-11-24,2019-11-30,-0.5199996948242187,-5.74000244140625,8.0,-104.2,0.579998779296875,-3.2,3.75999755859375
2019-12-01,2019-12-07,-0.7,4.9,-27.2,43.8,-2.4399993896484404,-4.8,-6.639996337890625
2019-12-08,2019-12-14,3.1800003051757786,-0.5,-25.4,49.4,-1.9600006103515597,-0.4,-1.060003662109375
2019-12-15,2019-12-21,-3.020001220703122,3.55999755859375,22.6,-26.0,-2.0,-3.2,-1.45999755859375
2019-12-22,2019-12-28,-1.779998779296875,-4.2199951171875,10.0,29.0,-1.1199996948242188,0.8,-1.9
2019-12-29,2020-01-04,0.3399993896484375,1.9800048828125,-2.0,77.2,6.439999389648437,2.0,3.379998779296875
2020-01-05,2020-01-11,0.6800003051757812,-1.34000244140625,69.2,-11.0,-1.0199996948242187,-2.2,-2.479998779296875
2020-01-12,2020-01-18,0.05999908447265625,-1.1,-68.4,106.6,0.7600006103515596,0.6,3.320001220703125
2020-01-19,2020-01-25,-0.379998779296875,8.55999755859375,5.4,3.4,0.3199996948242216,1.6,3.839996337890625
2020-01-26,2020-02-01,-1.8600006103515625,1.1199951171875,107.6,-101.2,-0.8,-4.4,0.720001220703125
2020-02-02,2020-02-08,0.5600006103515625,17.7800048828125,32.8,-70.4,-0.5400009155273409,2.0,-1.179998779296875
2020-02-09,2020-02-15,0.2,7.3,45.8,-1.0,-0.8199996948242216,-0.8399993896484375,4.75999755859375
2020-02-16,2020-02-22,-0.120001220703125,2.14000244140625,-69.8,18.4,-0.31999969482421875,-1.8399993896484432,1.4799987792968863
2020-02-23,2020-02-29,-0.8999996185302734,-19.45999755859375,-86.6,-108.0,0.03999938964844034,-1.0,-8.7
2020-03-01,2020-03-07,-4.2749996185302725,-21.95001220703125,-112.5,-163.25,-1.125,-0.625,-4.324996948242202
2020-03-08,2020-03-14,-2.5800003051757807,-59.32499694824219,-242.75,-328.0,-8.899999618530277,-9.350002288818352,-1.5250015258789062
2020-03-15,2020-03-21,1.140000152587891,-9.839996337890625,48.2,127.0,-1.9399993896484404,-1.179998779296875,2.120001220703125
2020-03-22,2020-03-28,0.9800003051757812,1.779998779296875,215.4,95.6,-2.2999999999999985,-1.1600006103515625,6.379998779296875
2020-03-29,2020-04-04,-0.4000002543131511,12.9,-131.6,77.4,-0.06000061035156108,-1.7600006103515569,0.44000244140625
2020-04-05,2020-04-11,0.0666669209798177,6.400004069010417,170.33333333333334,93.0,1.7000007629394531,0.2333323160807197,0.16666666666666666
2020-04-12,2020-04-18,-1.1200004577636722,10.566660563151041,-13.333333333333334,2.6666666666666665,2.433333079020182,1.2000020345052083,-0.866668701171875
2020-04-19,2020-04-25,3.86666742960612,10.979998779296887,66.0,86.8,0.9,2.1399993896484375,2.64000244140625
2020-04-26,2020-05-02,2.399999237060547,19.966674804687443,68.33333333333333,33.0,1.8666661580403645,0.23333231608072916,7.166666666666629
2020-05-03,2020-05-09,-0.679998779296875,-0.22000732421872726,-25.0,-77.0,0.6800003051757812,1.1,-1.2200012207031024
2020-05-10,2020-05-16,0.5399996280670166,-7.5199951171875,2.2,-20.2,1.6,0.2800018310546875,1.2399963378906478
2020-05-17,2020-05-23,8.85000079870224,-5.640002441406239,75.4,128.2,1.0600006103515596,2.7199981689453123,4.6800048828124545
2020-05-24,2020-05-30,13.650000095367432,5.225006103515611,260.5,208.5,11.474998474121104,5.550003051757805,25.34999084472659
2020-05-31,2020-06-06,,-9.860003662109374,4.2,-36.8,5.739999389648432,13.359997558593767,-16.6
