first_day_in_week,last_day_in_week,ARYT_main_symb_weekly_mean_diff,MLTM.TA_weekly_mean_diff_0.39,PCBT.TA_weekly_mean_diff_0.39,ALRPR.TA_weekly_mean_diff_0.4,CLIS.TA_weekly_mean_diff_0.4
2019-09-29,2019-10-05,-1.5,-245.0,8.699996948242188,-20.0,-44.0
2019-10-06,2019-10-12,0.2999979654947917,916.6666666666666,5.466664632161458,250.0,-7.0
2019-10-13,2019-10-19,0.366668701171875,500.0,0.100006103515625,-6.666666666666667,66.33333333333333
2019-10-20,2019-10-26,-0.7,380.0,1.1999918619791856,-90.0,19.333333333333332
2019-10-27,2019-11-02,1.4199981689453125,120.0,-3.2399963378906365,20.0,6.4
2019-11-03,2019-11-09,-0.0600006103515625,-418.0,0.920001220703125,-102.0,-21.6
2019-11-10,2019-11-16,0.3,312.0,-2.820001220703125,-54.0,-16.6
2019-11-17,2019-11-23,0.7,1104.0,-8.679998779296875,52.0,19.2
2019-11-24,2019-11-30,-1.5,52.0,-2.620001220703125,132.0,71.0
2019-12-01,2019-12-07,0.6800018310546875,-182.0,-0.720001220703125,10.0,-81.0
2019-12-08,2019-12-14,-0.2600006103515625,32.0,1.3,20.0,13.2
2019-12-15,2019-12-21,-0.979998779296875,116.0,-2.4400024414062385,68.0,-49.4
2019-12-22,2019-12-28,0.779998779296875,152.0,12.5,-42.0,0.8
2019-12-29,2020-01-04,0.320001220703125,408.0,-3.379998779296886,60.0,15.0
2020-01-05,2020-01-11,0.5399993896484375,220.0,-0.32000122070311365,44.0,-83.6
2020-01-12,2020-01-18,-0.6600006103515625,-78.0,4.7,418.0,-37.0
2020-01-19,2020-01-25,-0.279998779296875,1782.0,2.5400024414062385,-84.0,33.6
2020-01-26,2020-02-01,-1.24000244140625,-566.0,-0.979998779296875,-220.0,-73.6
2020-02-02,2020-02-08,-0.1,604.0,-1.920001220703125,-62.0,-52.8
2020-02-09,2020-02-15,0.920001220703125,-400.0,2.84000244140625,-30.0,-27.2
2020-02-16,2020-02-22,-1.0399993896484374,-236.0,1.079998779296875,166.0,45.6
2020-02-23,2020-02-29,-2.7500000000000067,-1396.0,-6.279998779296875,-438.0,-111.8
2020-03-01,2020-03-07,-6.800001144409173,-1357.5,-13.200004577636719,-890.0,-163.75
2020-03-08,2020-03-14,-0.2599990844726591,-3262.5,-19.875,-1003.0,-274.25
2020-03-15,2020-03-21,0.6799987792968807,-80.0,-10.879998779296875,-32.6,42.6
2020-03-22,2020-03-28,1.3,1470.0,5.6,376.8,36.0
2020-03-29,2020-04-04,5.533335367838528,1488.0,21.3,184.2,82.8
2020-04-05,2020-04-11,-0.8000030517578031,553.3333333333334,2.3333333333333335,-122.66666666666667,107.0
2020-04-12,2020-04-18,-1.6599990844726562,-1210.0,-0.3333333333333333,-285.0,0.6666666666666666
2020-04-19,2020-04-25,2.6999994913737075,896.0,2.5599975585937615,36.2,18.6
2020-04-26,2020-05-02,0.060000610351556814,880.0,1.1000061035156061,324.0,113.33333333333333
2020-05-03,2020-05-09,-0.16000061035155685,380.0,3.1399963378906364,-190.2,1.4
2020-05-10,2020-05-16,-0.3799987792968864,0.0,1.6800048828124887,-251.2,-69.2
2020-05-17,2020-05-23,-0.6000022888183523,472.0,4.539996337890625,81.4,-22.2
2020-05-24,2020-05-30,0.2800018310546818,-692.5,4.625,0.0,-20.5
2020-05-31,2020-06-06,-0.15000152587889204,384.0,-0.32000122070311365,-16.0,-25.0
2020-06-07,2020-06-13,-1.439999389648443,-325.0,1.2000045776367045,181.25,51.5
2020-06-14,2020-06-20,1.779998779296875,960.0,-1.820001220703125,110.4,76.2
2020-06-21,2020-06-27,0.660001277923584,-588.0,1.64000244140625,-109.4,-85.2
2020-06-28,2020-07-04,-0.5799994468689021,-1012.0,-3.0400062561035157,-70.39993286132812,16.19998474121103
2020-07-05,2020-07-11,-0.4800018310546818,-1072.0,0.46000137329102697,-21.800067138671874,-44.39998474121103
2020-07-12,2020-07-18,-0.4999984741210938,236.0,-9.959997558593761,3.2,-0.6
2020-07-19,2020-07-25,0.4999980926513672,-240.0,10.120001220703125,-2.6,-4.0
2020-07-26,2020-08-01,,797.5,-0.7750015258789062,-123.0,27.5
