first_day_in_week,last_day_in_week,MDPR_main_symb_weekly_mean_diff,LUMI.TA_weekly_mean_diff_0.39,ROTS.TA_weekly_mean_diff_0.39,MRIN.TA_weekly_mean_diff_0.4,MTRX.TA_weekly_mean_diff_0.4,SHOM.TA_weekly_mean_diff_0.45_INT_MNRV.TA_weekly_mean_diff_0.36_corr_0.75,ILDC.TA_weekly_mean_diff_0.41,ATRY.TA_weekly_mean_diff_0.42,AZRM.TA_weekly_mean_diff_0.39_INT_FIBIH.TA_weekly_mean_diff_0.48_corr_0.75,MLTM.TA_weekly_mean_diff_0.42,GLPL.TA_weekly_mean_diff_0.43,FIBI.TA_weekly_mean_diff_0.44,HLMS.TA_weekly_mean_diff_0.38_INT_OPAL.TA_weekly_mean_diff_0.49_corr_0.7,LEVI.TA_weekly_mean_diff_0.45,SHOM.TA_weekly_mean_diff_0.45,SHOM.TA_weekly_mean_diff_0.45_INT_OPAL.TA_weekly_mean_diff_0.49_corr_0.77,RLCO.TA_weekly_mean_diff_0.47,FIBIH.TA_weekly_mean_diff_0.48,ALRPR.TA_weekly_mean_diff_0.53_INT_MRIN.TA_weekly_mean_diff_0.4_corr_0.72,ATRY.TA_weekly_mean_diff_0.42_INT_ASGR.TA_weekly_mean_diff_0.39_corr_0.72,OPAL.TA_weekly_mean_diff_0.49,ALRPR.TA_weekly_mean_diff_0.53,MRIN.TA_weekly_mean_diff_0.4_INT_ZUR.TA_weekly_mean_diff_0.36_corr_0.72,OPAL.TA_weekly_mean_diff_0.49_INT_MRIN.TA_weekly_mean_diff_0.4_corr_0.74,ATRY.TA_weekly_mean_diff_0.42_INT_SHOM.TA_weekly_mean_diff_0.45_corr_0.72,ZUR.TA_weekly_mean_diff_0.36_INT_OPAL.TA_weekly_mean_diff_0.49_corr_0.71,ALRPR.TA_weekly_mean_diff_0.53_INT_OPAL.TA_weekly_mean_diff_0.49_corr_0.72,ZUR.TA_weekly_mean_diff_0.36_INT_MNRV.TA_weekly_mean_diff_0.36_corr_0.74,MNRV.TA_weekly_mean_diff_0.36_INT_OPAL.TA_weekly_mean_diff_0.49_corr_0.78,ZUR.TA_weekly_mean_diff_0.36_INT_ATRY.TA_weekly_mean_diff_0.42_corr_0.75
2019-05-19,2019-05-25,-0.3,-9.6,15.6,2.5599975585937274,48.0,3024.0440454110376,-11.0,35.2,-0.28001708984375,1066.0,1.8800048828125,-2.4,-0.3060021972656148,40.0,8.74000244140625,7.866002197265626,0.0,-14.0,163.83984374999855,567.423828125,0.9,64.0,-59.39194335937447,2.303997802734355,307.64808593750007,-20.88,57.6,-8027.208496093715,311.40032958984244,-816.64
2019-05-26,2019-06-01,-2.4,8.2,3.6,-13.139996337890626,38.6,732.4810717776418,-21.6,26.4,80.64013671874936,-232.0,2.07999267578125,-39.8,-0.1900024414062443,86.0,-6.54000244140625,3.270001220703125,9.8,-56.0,2154.959399414063,49.632128906249996,-0.5,-164.0,144.5399597167969,6.569998168945313,-172.65606445312497,5.5,82.0,1232.0013427734375,56.00006103515625,-290.4
2019-06-02,2019-06-08,-0.320001220703125,4.2,-6.4,3.84000244140625,-24.6,1708.798828125007,-31.6,-24.0,-4.159960937500182,-158.0,-4.57999267578125,34.0,-1.5840087890624797,86.0,4.8,8.64,-9.8,16.0,-115.2000732421875,24.480175781249997,1.8,-30.0,-0.76800048828125,6.91200439453125,-115.19999999999999,-0.36000000000000004,-54.0,-71.1999511718753,640.7995605468777,4.800000000000001
2019-06-09,2019-06-15,1.820001220703125,3.2,2.2,-3.620001220703125,-7.0,641.7597387693878,43.8,20.0,11.7600341796875,-526.0,-0.42000732421875,-12.2,-2.6400024414062386,44.0,-3.820001220703125,3.820001220703125,-2.0,14.0,-535.7601806640624,-110.800048828125,-1.0,148.0,31.8560107421875,3.620001220703125,-76.4000244140625,8.8,-148.0,1478.398925781263,167.99987792968895,-176.0
2019-06-16,2019-06-22,-1.94000244140625,-1.6,-5.8,3.8,-27.8,43.519672852009535,0.2,18.2,4.800000000000001,380.0,2.04000244140625,-20.8,0.36719685059040785,42.0,-0.639996337890625,1.3055901855602863,-0.8,-24.0,342.0,14.1960888671875,-2.039996337890625,90.0,1.52,-7.7519860839843755,-11.647933349609376,-0.8159985351562501,-183.59967041015628,-27.199951171875,138.71950195357203,7.28
2019-06-23,2019-06-29,1.220001220703125,20.0,-33.8,-3.120001220703125,15.8,94.07952148467302,-6.8,8.2,414.15992431640626,28.0,-3.0,51.2,14.291993408203146,48.0,3.35999755859375,6.04799560546875,4.2,62.0,62.4000244140625,-17.54802001953125,1.8,-20.0,-15.600006103515625,-5.616002197265625,27.551979980468747,9.0,-36.0,139.9993896484375,50.3997802734375,41.0
2019-06-30,2019-07-06,-4.0,7.0,36.8,5.779998779296898,92.6,303.1596899405154,30.4,56.4,527.3599609375,156.0,0.0,-4.6,-14.387991943359374,-44.0,1.0599975585937613,4.621586767584135,7.0,32.0,936.3598022460975,182.7361376953125,4.35999755859375,162.0,15.027996826171936,25.20078056640933,59.783862304688135,11.33599365234375,706.3196044921875,743.6009521484375,1246.960898436606,146.64000000000001
2019-07-07,2019-07-13,2.579998779296875,-4.2,-12.4,1.9,-2.6,99.00024414062428,17.2,-1.0,-313.59999999999997,-2.0,-7.2199951171875,-31.6,-12.584006347656251,-68.0,-0.5,-1.2100006103515626,-32.2,-56.0,125.39999999999999,3.9199951171875,2.420001220703125,66.0,-15.959999999999999,4.598002319335937,0.5,-20.328010253906253,159.72008056640627,1663.204101562488,-479.16142334043633,8.4
2019-07-14,2019-07-20,1.0,-17.8,20.0,0.32000732421872724,-30.4,330.2379541024634,-52.0,-39.0,-63.359838867189005,-334.0,5.4199951171875,-40.0,0.402797778323297,30.0,-0.6399963378906364,0.24319782715291216,-2.4,-66.0,-76.16174316405709,119.34038085937499,-0.379998779296875,-238.0,-4.358498193323309,-0.12160239256917564,24.95985717773482,5.175581518560657,90.43970947265625,7027.914155274661,196.07927734404856,531.1798095703134
2019-07-21,2019-07-27,0.920001220703125,7.4,9.4,2.4599975585937273,7.4,2693.9196240231395,47.8,61.6,-46.71992187500073,-46.0,-2.9800048828125,67.2,1.9591927001997829,76.0,5.95999755859375,7.390375146493316,29.8,32.0,-83.63991699218673,316.624150390625,1.239996337890625,-34.0,13.825174267589976,3.0503879638761,367.13584960937504,6.968773364275722,-42.159875488281244,2540.2384790033207,560.478496093303,346.1916992187514
2019-07-28,2019-08-03,1.079998779296875,11.4,3.8,-3.759997558593727,15.0,1734.3614721670776,35.2,11.0,732.3197753906251,54.0,-1.6199951171875,44.6,3.0008074218779806,158.0,1.94000244140625,2.4056077636778355,-3.0,92.0,-285.7598144531233,27.94002685546875,1.24000244140625,76.0,11.27999267578118,-4.662406152337761,21.34002685546875,-3.7200073242187504,94.240185546875,-2681.998901367192,1108.5617285147327,-33.0
2019-08-04,2019-08-10,-0.020001220703125,-11.0,33.0,-3.560003662109375,-14.0,262.15951904282633,24.0,-14.8,42.0,-146.0,-1.8199951171875,2.2,-0.1968022949248552,486.0,-4.520001220703125,3.7064065185561774,-8.0,-20.0,-555.3605712890625,-20.424072265625,-0.820001220703125,156.0,16.660834521502178,2.9192073486372827,66.89601806640626,3.837609716802817,-127.9201904296875,271.43971191347197,47.55997070297718,69.26407226562468
2019-08-11,2019-08-17,0.9799987792968864,-25.0,-0.2,-0.479998779296875,-12.0,-342.000732421875,-66.8,-9.4,-2.8000000000000003,380.0,-7.24000244140625,-2.4,0.37000000000000005,-40.0,1.14000244140625,-0.114000244140625,10.2,-14.0,54.719860839843754,-61.475908203125,-0.1,-114.0,3.3983878418058264,0.047999877929687504,-10.71602294921875,0.7079992675781273,11.4,2123.997802734382,30.0,66.55193115234397
2019-08-18,2019-08-24,0.1,21.0,-12.6,-0.28000488281248864,57.2,-832.3178417980703,12.6,104.6,673.1999999999999,2310.0,2.45999755859375,-3.6,-1.689984130859375,278.0,6.119995117187523,-39.7799682617189,2.8,66.0,-22.40039062499909,476.977021484375,-6.5,80.0,-1.0864168944954495,1.8200317382811761,640.1514892578149,-25.219952392578275,-520.0,-527.6780566424162,883.9984130859375,405.84723388672114
2019-08-25,2019-08-31,-4.479998779296887,-22.4,5.8,-5.479998779296887,-25.0,1578.9633032232243,-12.8,23.0,302.40000000000003,72.0,-0.0199951171875,-6.0,-7.9200073242187505,-212.0,2.5800048828124544,-7.740014648437363,11.8,-36.0,-186.31995849609416,-32.199999999999996,-3.0,34.0,-126.47839858397856,16.439996337890662,59.34011230468645,-69.24001464843744,-102.0,14124.965805664646,-1836.0003662109375,530.840112304687
2019-09-01,2019-09-07,-0.539996337890625,2.4,26.2,4.7,-8.8,1268.9579931646633,-5.8,-28.8,-76.16008300781249,-114.0,-6.4,-30.0,-9.960003662109376,-210.0,6.159997558593773,18.479992675781318,-23.2,-34.0,0.0,117.504140625,3.0,0.0,7.5200000000000005,14.100000000000001,-177.40792968750065,4.800000000000001,0.0,329.599609375,617.999267578125,-46.080000000000005
2019-09-08,2019-09-14,0.9249954223632812,12.6,16.6,4.400006103515625,-31.6,-432.64076171814787,22.2,-26.0,419.75991210937497,-476.0,0.0199951171875,12.6,2.3295993408188225,-14.0,4.15999755859375,5.32479179687798,-2.0,36.0,158.40021972656248,-75.39999999999999,1.279998779296875,36.0,76.56010620117186,5.632002441398799,-108.1599365234375,22.271978759765624,46.0799560546875,-1809.6042480468495,-133.12018554657513,-452.4
2019-09-15,2019-09-21,2.020001220703125,-0.5,43.75,-2.925003051757841,66.5,51.99971008114635,-14.25,-51.0,-206.1246109008789,145.0,5.774993896484375,34.0,-0.0700014877365902,102.5,-0.649993896484375,-0.25999855040572584,21.5,42.5,-277.8752899169949,36.975311279296875,0.40000152587890625,95.0,1.4625015258789205,-1.1700056839035937,33.149688720703125,-0.20000076293945312,38.000144958496094,40.000152587891534,-32.000244141091386,25.5
2019-09-22,2019-09-28,-1.25,-1.4,-20.4,-1.080004882812466,56.4,-170.7211621105671,-0.2,24.8,-16.12060546875,-120.0,-8.3,11.6,4.463997802734376,282.0,-1.94000244140625,3.49200439453125,-1.0,62.0,10.800048828124659,165.66412109375,-1.8,-10.0,3.240014648437398,1.944008789062439,-48.112060546875,5.4,18.0,-264.00146484375,-158.40087890625,-74.4
2019-09-29,2019-10-05,5.23333740234375,-2.5,-58.5,-8.75,23.0,1656.0016479343176,-18.0,-90.0,197.49984741210938,-245.0,4.0,-3.5,-0.259996643057093,480.0,4.79998779296875,-6.239998779259622,-33.5,-25.0,175.0,-310.5010986328125,-1.3000030517578125,-20.0,105.0,11.37502670288086,-431.9989013671875,15.60003662109375,26.00006103515625,-4140.0146484375,-448.5026397742331,1080.0
2019-10-06,2019-10-12,1.7333272298177085,4.0,-7.0,9.533345540364564,34.666666666666664,-759.0116780665186,81.0,39.0,768.4449598524305,916.6666666666666,4.366678873697917,104.66666666666667,3.9900130208374724,110.0,6.900004069010417,4.830016886401508,24.666666666666668,126.66666666666667,2383.336385091141,-289.900634765625,0.7000020345052084,250.0,22.244472927517318,6.67336127389635,269.10015869140625,1.633338080512153,175.0005086263021,-256.67046440972223,-77.00136312180096,91.0
2019-10-13,2019-10-19,3.7999979654948297,5.0,9.666666666666666,9.199991861979166,32.666666666666664,440.00244140625,29.666666666666668,112.33333333333333,0.0,500.0,-0.20001220703125,2.3333333333333335,2.2777726915147727,46.666666666666664,2.20001220703125,1.833343505859375,0.3333333333333333,0.0,-61.33327907986111,303.3013712565104,0.8333333333333334,-6.666666666666667,334.26637098524304,7.666659884982638,247.13470458984375,30.277777777777782,-5.555555555555556,7266.666666666667,166.66666666666669,4081.4444444444443
2019-10-20,2019-10-26,5.3599975585937285,15.0,1.0,0.7666625976562879,58.0,1570.6653917001352,-12.0,115.33333333333333,-68.00008138020833,380.0,1.0666707356770833,77.0,3.288899739583283,-13.333333333333334,4.133321126302083,11.022189670138888,-32.333333333333336,20.0,-68.99963378906591,-284.4898274739583,2.6666666666666665,-90.0,5.366638183594015,2.044433593750101,476.7097032335069,18.666666666666664,-240.0,2660.005696614583,1013.3355034722222,807.3333333333333
2019-10-27,2019-11-02,-1.1199951171875,5.0,-8.6,6.220007324218727,26.2,-3578.6408837884546,0.6,-59.4,-1.7999999999999998,120.0,-0.07999267578125,-25.8,1.89599853515625,-8.0,8.05999755859375,12.734786303713918,5.0,6.0,124.40014648437455,-144.93614501953124,1.579998779296875,20.0,-87.08010253906218,9.82760397948321,-478.76385498046875,-22.11998291015625,31.5999755859375,6216.003417968729,-701.5198437496997,831.6
2019-11-03,2019-11-09,1.2,7.6,-12.0,7.15999755859375,-77.8,668.00048828125,-13.4,42.4,-53.6,-418.0,1.75999755859375,21.4,4.50720588378609,-220.0,6.6800048828125,4.809611669927835,18.0,8.0,-730.3197509765624,131.44,0.720001220703125,-102.0,77.3279736328125,5.155206982418894,283.23220703124997,7.776013183593751,-73.44012451171875,1080.0,72.0001220703125,457.92
2019-11-10,2019-11-16,8.4199951171875,-9.0,-40.4,-3.44000244140625,117.6,-1495.9173291027626,-26.8,27.4,-281.599609375,312.0,-4.3800048828125,42.6,-2.4472010009735925,48.0,5.4199951171875,4.986402124017476,-2.6,80.0,185.7601318359375,-52.059999999999995,0.920001220703125,-54.0,-24.768017578125,-3.16480644531548,148.5078662109375,6.6240087890625,-49.68006591796875,-1987.1982421875107,-253.9201123043908,197.28
2019-11-17,2019-11-23,5.9800048828125,-14.8,-2.0,2.8199951171875,45.2,1242.80126953125,42.2,74.0,40.0798828125,1104.0,4.32000732421875,-8.4,-1.6512055175751152,-58.0,4.7800048828125,12.332406762689352,19.2,12.0,146.63974609375,-309.320361328125,2.579998779296875,52.0,-24.2519580078125,7.275583959966898,353.720361328125,-22.187989501953123,134.1599365234375,-2236.0,670.7996826171875,-636.4
2019-11-24,2019-11-30,2.0800048828125,7.2,52.2,-4.3,-104.2,791.9970703125,-1.8,7.4,629.28017578125,52.0,9.2199951171875,139.8,3.962409936524922,132.0,-6.0,-3.1200073242187503,17.0,72.0,-567.6,20.86805419921875,0.520001220703125,132.0,-45.58,-2.2360052490234374,-44.400000000000006,5.512012939453125,68.64016113281251,-1399.19482421875,-68.63990722596645,78.44
2019-12-01,2019-12-07,7.07999267578125,-21.8,27.0,2.24000244140625,43.8,1283.1653173863804,7.6,48.6,189.279931640625,-182.0,-12.9,-32.0,-1.8923911377042721,56.0,-5.7800048828125,-6.589184399396247,14.2,-28.0,22.4000244140625,-210.92411865234376,1.1399963378906364,10.0,-12.544013671874998,2.5535945800692095,-280.90823730468753,-6.383979492187564,11.399963378906364,1243.2041015624918,-253.08002196997492,-272.15999999999997
2019-12-08,2019-12-14,1.82000732421875,7.6,83.4,2.12000732421875,49.4,-275.40124511718005,60.8,45.4,-158.6,32.0,16.94000244140625,-22.0,-2.0199951171875115,166.0,-5.1,10.301975097656308,5.8,-26.0,42.400146484375,211.56388916015624,-2.0199951171875115,20.0,45.792158203125,-4.282404443323636,-231.53999999999996,-43.63189453125025,-40.39990234375023,1166.4052734374686,-109.08022949099308,980.64
2019-12-15,2019-12-21,-0.92000732421875,0.8,-26.2,0.6,-26.0,7017.2012939453125,60.4,-54.2,-190.4,116.0,-0.54000244140625,-72.0,-4.07479960937053,124.0,13.24000244140625,44.22155966795981,-0.2,-56.0,40.8,39.0237353515625,3.339996337890625,68.0,0.6,2.003997802734375,-717.6081323242188,3.339996337890625,227.1197509765625,530.0,1770.1980590820312,-54.2
2019-12-22,2019-12-28,-2.74000244140625,7.6,-14.8,1.67999267578125,29.0,-1486.7228710949366,42.6,36.0,-12.639990234375,152.0,-2.1,14.0,-1.9760015869140626,-68.0,3.6800048828125,5.59361191406846,-45.0,-2.0,-70.5596923828125,125.279736328125,1.520001220703125,-42.0,-0.6719970703125,2.5535909179598093,132.48017578124998,-0.6080004882812501,-63.84005126953125,161.60009765624943,-614.0808642581082,-14.4
2019-12-29,2020-01-04,-4.5,12.0,29.2,6.74000244140625,77.2,8504.317792966944,2.8,104.4,-14.080078125,408.0,0.35999755859375,-12.0,-22.343988037109376,106.0,12.07999267578125,59.19196411132813,-5.4,-16.0,404.400146484375,565.8487646484375,4.9,60.0,49.87601806640625,33.02601196289063,1261.1512353515627,36.260000000000005,294.0,5209.601806640614,3449.6011962890557,772.5600000000001
2020-01-05,2020-01-11,0.5,-13.8,34.0,34.74000244140625,-11.0,-3725.9887695312536,66.0,37.2,-93.23996582031249,220.0,3.0800048828125,2.0,30.23997802734375,104.0,23.00000000000002,207.0000000000002,28.6,-14.0,1528.5601074218748,-6.696181640625,9.0,44.0,-368.2440258789062,312.66002197265624,855.6000000000008,-95.39999999999999,396.0,1717.19482421875,-1457.99560546875,-394.32
2020-01-12,2020-01-18,-0.5,-6.4,12.4,16.040002441406227,106.6,-2878.3095166087373,-1.2,22.8,-81.12001953125,-78.0,1.6199951171875,-54.0,-2.1244032226502747,-26.0,-10.739990234375023,10.095617040991684,2.2,-8.0,6704.721020507803,33.744111328125,-0.9400024414062387,418.0,-67.36801025390615,-15.077641455083882,-244.87177734375052,3.9480102539062027,-392.9210205078078,-1125.5969238281314,-251.9199658185227,-95.76
2020-01-19,2020-01-25,-5.65999755859375,11.8,32.6,1.3799926757812728,3.4,89.04005371034268,-46.0,13.8,-225.0,1782.0,-0.67999267578125,24.0,-0.2495967773348184,-38.0,-0.84000244140625,0.20159750975669385,-29.2,-30.0,-115.91938476562692,-32.844067382812504,-0.23999633789063637,-84.0,20.42389160156284,-0.3311931885034058,-11.59203369140625,-3.5519458007814184,20.159692382813457,-1568.7963867187716,25.439553223551872,204.24
2020-01-26,2020-02-01,-4.35999755859375,-3.4,-17.0,-18.15999755859375,-101.2,-574.600830078125,11.2,-94.0,2.159912109375,-566.0,-5.82000732421875,-41.2,5.6771936767548326,-100.0,-3.3800048828125,11.559620825201273,-8.2,-36.0,3995.1994628906255,601.6,-3.420001220703125,-220.0,21.7919970703125,62.1072138183564,317.720458984375,4.10400146484375,752.4002685546875,-204.0,-581.4002075195312,112.8
2020-02-02,2020-02-08,8.7199951171875,-3.2,15.4,16.8,-70.4,-10277.801635742188,136.4,20.0,3132.2396972656247,604.0,10.32000732421875,35.6,-8.046403955072122,174.0,15.34000244140625,-32.82764267578704,30.0,124.0,-1041.6000000000001,92.800048828125,-2.1400024414062386,-62.0,-215.04000000000002,-35.95204101562481,306.800048828125,27.392031249999857,132.6801513671868,8576.0,1433.8016357421798,-256.0
2020-02-09,2020-02-15,-0.85999755859375,-10.6,-27.2,22.2,-1.0,-3781.59716796875,52.4,-37.6,1414.319189453129,-400.0,-5.860009765625,-44.4,2.293608251959075,-94.0,-6.5199951171875,-15.908804003894256,9.6,-166.0,-666.0,143.63181640625,2.4400024414062385,-30.0,395.16,54.16805419921849,245.15181640625002,43.43204345703105,-73.20007324218716,10324.0,1415.2014160156184,-669.2800000000001
2020-02-16,2020-02-22,-4.0199951171875,-6.2,15.4,17.6,18.4,18161.743686527014,2.6,19.8,138.31972656250127,-236.0,0.04000244140625,32.0,-2.5824256835877284,218.0,19.27999267578125,103.72633706055582,-3.6,28.0,2921.6000000000004,62.171806640625,5.379998779296875,166.0,176.0,94.687978515625,381.74385498046877,53.79998779296875,893.0797973632812,9419.9951171875,5067.956223145127,198.0
2020-02-23,2020-02-29,-6.475006103515625,-25.4,-62.4,-38.9,-108.0,11342.39501953125,-104.0,-171.4,2578.799316406253,-1396.0,-9.25999755859375,-88.8,32.48,-426.0,-20.4,57.11999999999999,-64.0,-140.0,17038.2,2577.854326171875,-2.8,-438.0,1400.3999999999999,108.91999999999999,3496.56,100.8,1226.3999999999999,20015.9912109375,1556.79931640625,6170.400000000001
2020-03-01,2020-03-07,-34.02499389648437,-41.5,-117.0,-28.125,-163.25,64821.095420839265,-97.0,-143.25,5958.954963684082,-1357.5,-11.350006103515625,-151.5,182.2186851501468,-472.5,-40.44999694824219,859.5624351501465,-59.0,-210.75,25031.25,3452.3258743286133,-21.25,-890.0,1617.1875,597.65625,5794.462062835693,1221.875,18912.5,92143.71490478516,34053.1120300293,8236.875
2020-03-08,2020-03-14,-13.060003662109375,-70.0,-134.25,-75.875,-328.0,229483.41863250826,-436.75,-482.5,34215.615463256836,-3262.5,-43.274993896484375,-362.5,1001.9249534606936,-1332.5,-62.275001525878906,1899.3875465393062,-85.25,-485.5,76102.625,15078.125,-30.499999999999993,-1003.0,8511.278356552124,2314.1874999999995,30047.688236236572,3421.3375930786124,30591.499999999993,413364.9547119159,112392.51861572263,54124.438972473145
2020-03-15,2020-03-21,6.9799987792968885,-6.0,-28.0,-13.35999755859375,127.0,3104.3174633793533,-144.2,-44.8,-1698.008549804685,-80.0,-6.979998779296875,170.0,117.7024150634742,-124.0,-2.179998779296875,30.258380395509313,-35.2,225.2,435.5359204101563,574.3360546875,-13.87999877929688,-32.6,234.60152451172473,185.43674980469055,97.66394531249999,243.73274467773743,452.4879602050783,25005.43009277433,19765.11317871139,786.6878906249999
2020-03-22,2020-03-28,8.3,21.2,62.0,14.4,95.6,73545.5908203125,152.4,108.8,2159.920141601561,1470.0,16.279998779296875,10.0,112.01118616943248,618.0,37.6,412.09602294921876,93.8,116.0,5425.92,1068.4161328124999,10.960000610351562,376.8,216.86396484375,157.8240087890625,4090.88,165.05758243408053,4129.728229980468,29457.35154785216,21437.758518066257,1638.527734375
