first_day_in_week,last_day_in_week,PLX_main_symb_weekly_mean_diff,ICL.TA_weekly_mean_diff_0.37,ORL.TA_weekly_mean_diff_0.37,MMHD.TA_weekly_mean_diff_0.38,CEL.TA_weekly_mean_diff_0.41,ASHO.TA_weekly_mean_diff_0.44
2019-11-10,2019-11-16,20.0,1.6,0.25999755859375,-50.4,10.9,-5.2199951171875
2019-11-17,2019-11-23,44.4,-12.4,-1.679998779296875,85.2,26.9,-3.8800048828125
2019-11-24,2019-11-30,8.2,14.4,-0.1,-30.2,-2.05999755859375,6.0800048828125
2019-12-01,2019-12-07,0.6,-7.0,-0.3,-28.6,-6.819995117187522,-6.0800048828125
2019-12-08,2019-12-14,-30.2,-13.0,-2.279998779296875,-27.0,19.319995117187524,-1.54000244140625
2019-12-15,2019-12-21,-17.6199951171875,15.2,0.6399993896484375,-46.0,-19.8,1.0800048828125
2019-12-22,2019-12-28,83.0199951171875,2.8,2.2399993896484376,16.6,17.2,2.8
2019-12-29,2020-01-04,59.4,5.2,0.9399993896484375,68.0,2.4,-0.82000732421875
2020-01-05,2020-01-11,-48.4,-7.2,0.420001220703125,-50.4,-10.64000244140625,1.74000244140625
2020-01-12,2020-01-18,10.2,-12.4,-2.3399993896484377,7.4,20.64000244140625,-1.17999267578125
2020-01-19,2020-01-25,-24.0,-11.2,-0.9,-25.0,13.0,1.6199951171875
2020-01-26,2020-02-01,10.4,-6.2,-1.9600006103515626,-62.6,18.0,-3.6800048828125
2020-02-02,2020-02-08,-16.4,-2.8,-2.2600006103515624,-77.2,23.4,-1.5199951171875
2020-02-09,2020-02-15,41.8,-4.6,-1.1,28.0,9.6,-0.15999755859375
2020-02-16,2020-02-22,-46.0,-25.2,-1.3,29.6,-1.4,-2.85999755859375
2020-02-23,2020-02-29,-9.5,-1.0,-2.2,-81.6,-28.0,-12.52000732421875
2020-03-01,2020-03-07,-43.0,-15.75,-1.3500003814697266,-56.25,-46.75,-8.324996948242188
2020-03-08,2020-03-14,-28.55999755859375,-53.5,-9.149999618530273,-204.75,-73.75,-36.42500305175781
2020-03-15,2020-03-21,13.75999755859375,28.4,-0.7800003051757812,-49.4,22.0,-20.45999755859375
2020-03-22,2020-03-28,-19.6,-1.6,-2.1799995422363283,79.6,6.24000244140625,7.540002441406227
2020-03-29,2020-04-04,31.900004069010414,-18.4,6.320000457763669,122.8,26.15999755859375,25.759997558593774
2020-04-05,2020-04-11,129.0999959309896,43.333333333333336,5.099998474121098,95.0,82.33333333333333,53.633341471354164
2020-04-12,2020-04-18,0.8,-31.333333333333332,-2.3666661580403647,0.3333333333333333,-46.333333333333336,60.366658528645836
2020-04-19,2020-04-25,38.0,32.0,0.6,77.8,5.4,36.9
2020-04-26,2020-05-02,-55.6,-12.333333333333334,-2.266667683919266,63.333333333333336,30.0,-22.333333333333332
2020-05-03,2020-05-09,-19.4,9.8,0.3400009155273409,-49.8,-14.2,0.2
2020-05-10,2020-05-16,2.2,-35.6,-0.48000030517578124,-30.0,-5.4,-7.6
2020-05-17,2020-05-23,32.5,24.2,0.46000061035155965,51.4,-10.6,15.6
2020-05-24,2020-05-30,18.0,1.0,-3.225000381469723,-9.5,-9.75,-5.5
2020-05-31,2020-06-06,-4.0,10.6,0.1,-14.0,5.2,-6.0
2020-06-07,2020-06-13,18.6,-11.25,-0.8000011444091797,-83.25,32.0,-4.0
2020-06-14,2020-06-20,-1.0,-19.8,-2.4399993896484373,-43.8,13.6,16.6
2020-06-21,2020-06-27,-6.800005340576125,-14.4,-0.3399993896484375,-72.6,8.0,-13.6
2020-06-28,2020-07-04,-11.399994659423873,-0.4000091552734375,0.5399999618530273,72.40000915527344,6.400001525878906,0.20000457763671875
2020-07-05,2020-07-11,-4.0,1.6000091552734375,-1.8400007247924806,4.5999908447265625,-15.000001525878906,18.599995422363282
2020-07-12,2020-07-18,11.4,1.6,1.020000457763669,42.0,19.6,-5.4
2020-07-19,2020-07-25,-6.25,11.2,0.5199996948242216,21.8,-18.8,-6.6
2020-07-26,2020-08-01,,-12.75,-1.8000001907348633,-47.75,-0.25,1.0
