,ticker_name,df_reg_time,df_reg_inter_time,train_time,predict_time,full_train_time,save_results_time,years_back,df_raw_shape,df_clean_shape,df_feacheng_shape,df_dailydiff_shape,df_weeklydiff_shape,threshold_days_in_week,df_corr_shape,min_prcnt_data,df_reg_shape,predictors_number,corrs_mean,corr_threshold,corr_inter_threshold,number_of_inter,min_days_in_week_threshold,low_week_samples_dict,test_size,X_train_shape,X_test_shape,rmse_train,rmse_train_full_train,r2_train,r2_train_full_train,rmse_test,r2_test,r2_ad_nps_train,r2_ad_nps_test,alpha,alpha_full_train,given_date,exist_date_reference,last_close_price,predicted_diff,predicted_diff_full_train,next_week_price,next_week_price_full_train_,percentage_change,percentage_change_full_train,lr_class_accuracy_test,next_week_class,next_week_class_fp,next_week_class_tp,next_week_class_full_train,next_week_class_fp_full_train,next_week_class_tp_full_train
21,APLP,7.3,0.0,2.8,0.0,2.5,0.00018095970153808594,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 5)",5,0.44,0.35,0.7,0,1,{},0.15,43,8,2.022197483616888,2.0961,0.6145730052078973,0.5481,2.5136685100750586,-0.3892480547600947,0.5876827497572854,-0.9102160752951303,0.0001,0.0001,2020-07-11,2020-07-09,144.0,-1.92283,-1.8374,142.0772,142.1627,-0.0134,-0.0128,0.62,False,0.5,0.5,False,0.64,0.36
127,GSFI,8.4,0.0,3.1,0.0,2.7,0.00017571449279785156,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 5)",5,0.39,0.35,0.7,0,1,{},0.15,43,8,22.822773655448,24.1766,0.47884313909623843,0.3942,35.02460314595109,-0.6084689047361511,0.4424833581029528,-1.211644744012208,0.0001,0.0001,2020-07-11,2020-07-09,1850.0,-24.47889,-27.6681,1825.5211,1822.3319,-0.0132,-0.015,0.5,False,0.82,0.18,False,0.66,0.34
13,ALGS,9.2,0.0,4.8,0.0,2.5,0.0002529621124267578,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 5)",5,0.72,0.35,0.7,10,1,{},0.15,43,8,29.361802764364892,41.806,0.0921817477712612,-0.0339,103.78249367989234,-1.4143317700265046,0.0288455906390237,-2.319706183786444,0.0001,0.0001,2020-07-11,2020-07-09,1270.0,-16.49191,-18.8298,1253.5081,1251.1702,-0.013,-0.0148,0.75,False,0.79,0.21,False,0.5,0.5
287,SFET,6.2,0.0,1.2,0.0,1.1,0.0001590251922607422,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 3)",3,0.39,0.35,0.7,0,1,{},0.15,43,8,2.471367263854749,2.309,0.19001744038863122,0.1937,1.0797014730025511,0.1359758638823838,0.17118063667673888,0.027972846867681755,0.0001,0.0001,2020-07-11,2020-07-09,16.399999618530273,-0.20871,-0.1887,16.1913,16.2113,-0.0127,-0.0115,0.5,False,0.5,0.5,False,0.5,0.5
128,GAGR,8.7,0.0,3.1,0.0,2.7,0.00017905235290527344,1,"(240, 7)","(230, 7)","(230, 7)","(230, 1)","(50, 4)",1,"(373, 3)",0.8,"(49, 5)",5,0.41,0.35,0.7,0,1,{},0.15,42,7,3.6523759027530263,3.5028,0.38675556471589556,0.4683,2.793155344198715,0.7173618156875046,0.3418840206707171,0.6113724965703188,0.0001,0.0001,2020-07-11,2020-07-09,356.1000061035156,-4.38963,-5.2156,351.7104,350.8844,-0.0123,-0.0146,0.75,False,0.5,0.5,False,0.73,0.27
203,MDTR,8.1,0.0,2.9,0.0,1.8,0.0001671314239501953,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 4)",4,0.49,0.35,0.7,0,1,{},0.15,43,8,11.304310110542563,10.8601,0.3754439241964219,0.3349,8.605878230522771,-2.0574482771363583,0.3463948043916043,-2.821810346420448,0.0001,0.0001,2020-07-11,2020-07-09,675.2999877929688,-7.67024,-6.2844,667.6297,669.0156,-0.0114,-0.0093,0.38,False,0.5,0.5,False,0.5,0.5
83,DNA,7.2,0.0,0.7,0.0,0.6,0.00016999244689941406,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 2)",2,0.4,0.35,0.7,0,1,{},0.15,43,8,1.164410632500165,1.2293,0.2098528521769697,0.162,1.5396736131384456,-0.05329603828243479,0.2098528521769697,-0.05329603828243479,0.0001,0.0001,2020-07-11,2020-07-09,54.0,-0.60984,-0.6318,53.3902,53.3682,-0.0113,-0.0117,0.5,False,0.61,0.39,False,0.64,0.36
156,INBR,27.1,1.1,169.3,0.0,4.2,0.00022292137145996094,1,"(240, 7)","(232, 7)","(232, 7)","(232, 1)","(51, 4)",1,"(373, 3)",0.8,"(50, 8)",8,0.68,0.35,0.7,1244,1,{},0.15,42,8,1.6576972008118616,1.6041,0.6967956155767456,0.6905,1.3437918472851527,0.5699983206931344,0.6534807035162807,0.2474970612129852,0.0001,0.0001,2020-07-11,2020-07-09,59.9000015258789,-0.67768,-0.5593,59.2223,59.3407,-0.0113,-0.0093,0.5,False,0.73,0.27,False,0.61,0.39
231,NTO,6.3,0.0,1.2,0.0,1.1,0.00015783309936523438,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 3)",3,0.4,0.35,0.7,0,1,{},0.15,43,8,318.7168256529629,335.4055,0.2481248933431447,0.2325,438.8172916864537,0.07520987479818952,0.23063942574647356,-0.040388890852036674,0.0001,0.0001,2020-07-11,2020-07-09,12170.0,-132.32292,-114.8701,12037.6771,12055.1299,-0.0109,-0.0094,0.5,False,0.5,0.5,False,0.6,0.4
2,ADGR,11.8,0.1,9.9,0.0,0.6,0.00014901161193847656,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 2)",2,0.69,0.35,0.7,64,1,{},0.15,43,8,10.868972365547958,11.1414,0.08984252764794265,0.1461,13.10091694268026,-0.9073181329044939,0.08984252764794265,-0.9073181329044939,0.0001,0.0001,2020-07-11,2020-07-09,383.0,-4.05603,-2.8436,378.944,380.1563,-0.0106,-0.0074,0.0,False,0.5,0.5,False,0.5,0.5
339,YAAC,7.4,0.0,3.2,0.0,2.2,0.00017404556274414062,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 5)",5,0.44,0.35,0.7,0,1,{},0.15,43,8,0.848738511726736,0.8016,0.32000017173434414,0.3057,0.48989983420391203,-1.7475050537164072,0.27255832325069385,-2.77781944886006,0.0001,0.0001,2020-07-11,2020-07-09,34.299999237060554,-0.35819,-0.3367,33.9418,33.9633,-0.0104,-0.0098,0.5,False,0.55,0.45,False,0.6,0.4
14,ALHE,9.3,0.0,11.7,0.0,9.3,0.0003209114074707031,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 13)",13,0.57,0.35,0.7,15,1,{},0.15,43,8,32.570414816190755,13761.7807,0.6479447210032585,-49726.4218,153.62068982208802,-2.491858929460681,0.5578840682366502,-7.293164957469118,0.0001,0.0001,2020-07-11,2020-07-09,3440.0,-35.15205,-1965.3051,3404.848,1474.6949,-0.0102,-0.5713,0.75,False,0.5,0.5,False,0.62,0.38
130,GNRS,10.6,0.0,14.8,0.0,11.6,0.0002810955047607422,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 17)",17,0.53,0.35,0.7,10,1,{},0.15,43,8,0.5952034124836135,2.0898,0.6215539986164815,-2.9707,10.959242062422996,-59.73544028327302,0.4895379516222309,-173.61439081440994,0.0001,0.0001,2020-07-11,2020-07-09,71.69999694824219,-0.72183,-0.9733,70.9782,70.7267,-0.0101,-0.0136,0.62,False,0.72,0.28,False,0.62,0.38
10,ALMO,7.0,0.0,0.7,0.0,0.6,0.0001468658447265625,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 2)",2,0.37,0.35,0.7,0,1,{},0.15,43,8,3.2799939358012358,3.125,0.165675422913117,0.138,2.15382437430605,-0.7127290995415347,0.165675422913117,-0.7127290995415347,0.0001,0.0001,2020-07-11,2020-07-09,130.80000305175778,-1.28779,-1.3778,129.5122,129.4222,-0.0098,-0.0105,0.25,False,0.5,0.5,False,0.5,0.5
44,BCOM,7.2,0.0,2.1,0.0,1.9,0.00016808509826660156,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 4)",4,0.41,0.35,0.7,0,1,{},0.15,43,8,9.51411779198152,9.473,0.4677513698547673,0.4385,9.907845376566495,0.06059646070514324,0.4429956196154541,-0.17425442411857084,0.0001,0.0001,2020-07-11,2020-07-09,773.2000122070312,-7.48185,-7.3339,765.7182,765.8661,-0.0097,-0.0095,0.75,False,0.67,0.33,False,0.63,0.37
49,ORL,8.1,0.0,1.5,0.0,0.6,0.00016880035400390625,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 2)",2,0.53,0.35,0.7,0,1,{},0.15,43,8,1.7762997786622305,1.8257,0.24630679360718455,0.2766,2.110283521973456,0.20136248816671853,0.24630679360718455,0.20136248816671853,0.0001,0.0001,2020-07-11,2020-07-09,62.79999923706055,-0.58804,-0.4979,62.212,62.3021,-0.0094,-0.0079,0.75,False,0.5,0.5,False,0.5,0.5
158,INTL,7.4,0.0,0.8,0.0,0.6,0.00021505355834960938,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 2)",2,0.42,0.35,0.7,1,1,{},0.15,43,8,5.907235430773487,6.341,0.13899143289809757,0.1803,8.424899227708625,0.24587193583861178,0.13899143289809757,0.24587193583861178,0.0001,0.0001,2020-07-11,2020-07-09,199.8999938964844,-1.75554,-1.9792,198.1445,197.9208,-0.0088,-0.0099,0.75,False,0.5,0.5,False,0.68,0.32
60,BRND,7.5,0.0,1.6,0.0,0.6,0.00015091896057128906,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 2)",2,0.66,0.35,0.7,10,1,{},0.15,43,8,6.421317817555251,6.3046,0.002469927056624188,0.2529,68.89568320613525,-43.24153298337132,0.002469927056624188,-43.24153298337132,0.0001,0.0001,2020-07-11,2020-07-09,200.3999938964844,-1.74689,-1.8142,198.6531,198.5858,-0.0087,-0.0091,0.5,False,0.5,0.5,False,0.5,0.5
41,AYAL,15.0,0.1,10.2,0.0,0.6,0.00015592575073242188,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 2)",2,0.68,0.35,0.7,49,1,{},0.15,43,8,19.908303812998742,21.2391,0.03729973110433282,0.1276,30.316369907850113,-1.4816908310642596,0.03729973110433282,-1.4816908310642596,0.0001,0.0001,2020-07-11,2020-07-09,1095.0,-9.56941,-7.1799,1085.4306,1087.8201,-0.0087,-0.0066,0.25,False,0.5,0.5,False,0.5,0.5
71,CEL,7.3,0.0,1.4,0.0,1.2,0.00016617774963378906,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 3)",3,0.4,0.35,0.7,0,1,{},0.15,43,8,21.349848197241478,21.4234,0.22246763545221093,0.206,23.401581075872457,-0.7071634553287467,0.2043854874394716,-0.92055888724484,0.0001,0.0001,2020-07-11,2020-07-09,1317.0,-11.46677,-8.014,1305.5332,1308.986,-0.0087,-0.0061,0.12,False,0.5,0.5,False,0.55,0.45
241,OPAL,16.5,0.3,31.1,0.0,0.6,0.00015687942504882812,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 2)",2,0.68,0.35,0.7,232,1,{},0.15,43,8,6.54088555957902,6.109,0.09930680282593796,0.1266,2.899777903371802,0.38513890971005593,0.09930680282593796,0.38513890971005593,0.0001,0.0001,2020-07-11,2020-07-09,207.0,-1.80295,-1.7306,205.197,205.2694,-0.0087,-0.0084,0.75,True,0.5,0.5,False,0.53,0.47
6,AFRE,21.8,0.8,176.4,0.2,48.9,0.01932692527770996,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 1076)",1076,0.57,0.35,0.7,1016,1,{},0.15,43,8,0.00021476427197888442,0.0,0.9999999999976327,1.0,105.466126096318,0.1090373578729581,0.9999999999385045,-119.50269734768241,0.0001,0.0001,2020-07-11,2020-07-09,8968.0,-76.19977,-76.2,8891.8002,8891.8,-0.0085,-0.0085,0.62,False,0.96,0.04,False,0.55,0.45
178,KNFM,10.6,0.0,6.2,0.0,2.3,0.0001857280731201172,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 5)",5,0.52,0.35,0.7,8,1,{},0.15,43,8,18.298846646114015,18.9894,0.35372296995775854,0.3257,22.653594712069953,-0.030164290817911166,0.30863387483853244,-0.41647589987462785,0.0001,0.0001,2020-07-11,2020-07-09,427.6000061035156,-3.56608,-1.7814,424.0339,425.8186,-0.0083,-0.0042,0.88,True,0.49,0.51,True,0.47,0.53
106,ELMR,18.5,0.3,25.6,0.0,13.1,0.00035881996154785156,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 18)",18,0.57,0.35,0.7,63,1,{},0.15,43,8,4.250343935440422,4.155,0.8380496344422073,0.8304,4.212165675776325,0.5717426205627278,0.777789033304424,-0.28477213831181647,0.0001,0.0001,2020-07-11,2020-07-09,504.1000061035156,-4.10922,-2.6859,499.9908,501.4141,-0.0082,-0.0053,0.75,False,0.62,0.38,False,0.63,0.37
57,BCNV,7.3,0.0,0.7,0.0,0.6,0.00015783309936523438,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 2)",2,0.39,0.35,0.7,0,1,{},0.15,43,8,428.0423320598292,450.3304,0.1322251087775438,0.1504,575.4648813471399,-0.2998322016198467,0.1322251087775438,-0.2998322016198467,0.0001,0.0001,2020-07-11,2020-07-09,21070.0,-170.18746,-133.5508,20899.8125,20936.4492,-0.0081,-0.0063,0.25,False,0.5,0.5,False,0.55,0.45
160,INCR,7.1,0.0,2.6,0.0,2.4,0.00018095970153808594,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 5)",5,0.37,0.35,0.7,0,1,{},0.15,43,8,8.4819437695622,8.7069,0.43661773016905603,0.4532,10.614034871968082,0.36205086535507625,0.3973119904134088,0.12281993986322981,0.0001,0.0001,2020-07-11,2020-07-09,369.1000061035156,-2.96656,-5.2954,366.1334,363.8046,-0.008,-0.0143,0.5,False,0.5,0.5,False,0.69,0.31
137,GOLF,18.9,0.5,83.7,0.0,18.8,0.0006310939788818359,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 27)",27,0.57,0.35,0.7,540,1,{},0.15,43,8,1.926217132326405,3403.7308,0.7526194315028161,-729848.3657,2.014387882545903,0.8027535305247218,0.6087935195858487,0.18635831341447728,0.0001,0.0001,2020-07-11,2020-07-09,141.5,-1.10102,912.8068,140.399,1054.3068,-0.0078,6.4509,0.5,False,0.61,0.39,False,0.59,0.41
316,TDGN,6.4,0.0,1.9,0.0,1.6,0.000164031982421875,1,"(240, 7)","(197, 7)","(197, 7)","(197, 1)","(42, 4)",1,"(380, 3)",0.8,"(41, 4)",4,0.41,0.35,0.7,0,1,{},0.15,35,6,0.21918673039749076,0.2178,0.3736816132240375,0.305,0.2390292732749021,-1.692455951277244,0.3368393551783926,-2.4617290802135994,0.0001,0.0001,2020-07-11,2020-07-09,10.699999809265137,-0.08255,-0.0439,10.6174,10.6561,-0.0077,-0.0041,0.57,False,0.5,0.5,False,0.53,0.47
332,UTRN,6.9,0.0,2.6,0.0,2.2,0.00017404556274414062,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 5)",5,0.4,0.35,0.7,0,1,{},0.15,43,8,10.792166012531421,11.1214,0.389065098732319,0.3272,13.068887941639366,-0.2075898164559553,0.3464417335275971,-0.6604359976269385,0.0001,0.0001,2020-07-11,2020-07-09,593.7000122070312,-4.58571,-4.1754,589.1143,589.5246,-0.0077,-0.007,0.75,True,0.46,0.54,False,0.5,0.5
92,DISI,10.7,0.0,5.3,0.0,1.9,0.00018787384033203125,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 4)",4,0.54,0.35,0.7,10,1,{},0.15,43,8,10.04488907241919,12.3583,0.2920449148662989,-0.1044,8.616470179995513,-0.31870187528813787,0.2591167713717081,-0.6483773441101723,0.0001,0.0001,2020-07-11,2020-07-09,412.5,-3.06637,-0.4069,409.4336,412.0931,-0.0074,-0.001,0.25,True,0.5,0.5,True,0.5,0.5
293,SCOP,9.6,0.0,4.2,0.0,0.5,0.00015020370483398438,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 2)",2,0.7,0.35,0.7,17,1,{},0.15,43,8,86.84253012413106,90.5101,0.060854854406318326,0.1589,116.05408185867373,-0.11508936618919874,0.060854854406318326,-0.11508936618919874,0.0001,0.0001,2020-07-11,2020-07-09,5061.0,-37.50501,-32.7601,5023.495,5028.2399,-0.0074,-0.0065,0.38,False,0.5,0.5,False,0.5,0.5
297,SALG,6.8,0.0,11.8,0.0,7.9,0.00025391578674316406,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 14)",14,0.49,0.35,0.7,6,1,{},0.15,43,8,8.674195951331416,22.5424,0.40659936961696286,-2.3689,407.0566099437361,-762.4795800597904,0.24099919369611522,-1907.6989501494759,0.0001,0.0001,2020-07-11,2020-07-09,1114.0,-8.18162,-5.9035,1105.8184,1108.0965,-0.0073,-0.0053,0.62,False,0.98,0.02,True,0.46,0.54
70,CAST,7.2,0.0,2.1,0.0,1.9,0.0001850128173828125,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 4)",4,0.4,0.35,0.7,0,1,{},0.15,43,8,48.734984124983285,49.0274,0.24178407989600859,0.2461,51.23692283434586,0.07376332167612765,0.20651822314698565,-0.15779584790484047,0.0001,0.0001,2020-07-11,2020-07-09,2532.0,-18.4866,-15.1638,2513.5134,2516.8362,-0.0073,-0.006,0.75,False,0.58,0.42,False,0.58,0.42
329,TREN,6.2,0.0,0.7,0.0,0.5,0.00014591217041015625,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 2)",2,0.41,0.35,0.7,1,1,{},0.15,43,8,12.698997114386742,12.5957,0.0125275907343253,0.1689,31.74524327599501,-2.7375381988759715,0.0125275907343253,-2.7375381988759715,0.0001,0.0001,2020-07-11,2020-07-09,1274.0,-8.87799,-3.5009,1265.122,1270.4991,-0.007,-0.0027,0.25,False,0.5,0.5,False,0.5,0.5
22,ARD,7.5,0.0,1.6,0.0,1.2,0.0002079010009765625,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 3)",3,0.48,0.35,0.7,0,1,{},0.15,43,8,73.36952831712561,69.8821,0.3310589415807971,0.3147,47.78085509624906,-0.09170278864929227,0.3155021727803504,-0.2281656372304539,0.0001,0.0001,2020-07-11,2020-07-09,4724.0,-32.59766,-28.0955,4691.4023,4695.9045,-0.0069,-0.0059,0.38,False,0.66,0.34,False,0.5,0.5
244,ORAD,7.2,0.0,2.0,0.0,1.1,0.0001621246337890625,1,"(240, 7)","(230, 7)","(230, 7)","(230, 1)","(51, 4)",1,"(373, 3)",0.8,"(50, 3)",3,0.51,0.35,0.7,1,1,{},0.15,42,8,0.5422568177850947,0.5046,0.33026124682698965,0.3259,0.2230080607221902,-0.10751028333119317,0.3143150860371561,-0.24594906874759226,0.0001,0.0001,2020-07-11,2020-07-09,47.29999923706055,-0.31613,-0.3034,46.9839,46.9966,-0.0067,-0.0064,0.75,False,0.5,0.5,False,0.77,0.23
26,ARYT,9.1,0.0,2.8,0.0,1.2,0.00016307830810546875,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 3)",3,0.44,0.35,0.7,1,1,{},0.15,43,8,1.4543897773936736,1.4063,0.22700548347196925,0.257,1.1730121063055825,0.03564637897718603,0.20902886680852661,-0.08489782365066567,0.0001,0.0001,2020-07-11,2020-07-09,131.80000305175778,-0.85387,-0.8967,130.9461,130.9033,-0.0065,-0.0068,0.12,False,0.5,0.5,False,0.6,0.4
