first_day_in_week,last_day_in_week,GAON_main_symb_weekly_mean_diff,CEL.TA_weekly_mean_diff_0.35,EVGN.TA_weekly_mean_diff_0.35,BIOV.TA_weekly_mean_diff_0.36,HARL.TA_weekly_mean_diff_0.36,PTNR.TA_weekly_mean_diff_0.36,ALHE.TA_weekly_mean_diff_0.37,LEVI.TA_weekly_mean_diff_0.37,PHOE.TA_weekly_mean_diff_0.37,AMOT.TA_weekly_mean_diff_0.38,CMER.TA_weekly_mean_diff_0.4,EQTL.TA_weekly_mean_diff_0.42,MLD.TA_weekly_mean_diff_-0.49,ARPT.TA_weekly_mean_diff_0.53,CANF.TA_weekly_mean_diff_-0.56,GAON.TA_weekly_mean_diff_0.59
2019-07-14,2019-07-20,-34.0,16.6,-2.4599975585937726,-4.139996337890636,-21.0,9.4,15.4,30.0,-1.733984375,6.0,9.7,16.0,-0.2599998474121087,14.8,0.1600006103515625,-213.33333333333334
2019-07-21,2019-07-27,-58.0,-20.4,-2.620007324218727,1.4599975585937728,20.2,-29.6,15.2,76.0,0.961962890625,12.0,-3.45999755859375,100.0,0.1200000762939439,-5.0,-0.5800003051757813,-34.0
2019-07-28,2019-08-03,8.0,-8.4,-6.3199951171875,2.9400024414062385,8.4,-12.4,15.8,158.0,3.08203125,18.8,-7.45999755859375,4.0,0.059999847412110084,-0.6,0.18000030517578125,-58.0
2019-08-04,2019-08-10,25.0,-19.4,10.740002441406228,-3.560003662109375,-8.4,-9.8,44.2,486.0,-20.802001953125,4.6,6.9,-76.0,0.22000007629394602,112.0,-1.0600002288818353,8.0
2019-08-18,2019-08-24,-2.0,2.32000732421875,2.359997558593773,-0.9,15.8,11.4,49.6,278.0,14.4459716796875,12.6,1.35999755859375,10.0,0.44000015258788994,39.4,-0.44000015258788994,25.0
2019-08-25,2019-08-31,-2.0,-3.6,0.3800048828125,1.9200012207031136,2.4,8.2,-5.8,-212.0,1.156005859375,-2.2,7.9,-48.0,-1.1599998474121094,-47.6,0.6,-2.0
2019-09-01,2019-09-07,-26.0,-7.3800048828125,8.9199951171875,-0.32000122070311365,20.8,0.8,-34.0,-210.0,4.622021484375,3.2,-10.04000244140625,-94.0,-0.06000022888183594,-31.0,-0.6399997711181641,-2.0
2019-09-08,2019-09-14,0.0,-7.25999755859375,-4.4800048828125,0.4799987792968864,9.4,-2.2,-35.6,-14.0,5.777978515625,-24.8,4.8,22.0,0.6200000762939453,-76.0,1.0200000762939432,-26.0
2019-09-15,2019-09-21,96.66666666666669,0.8000030517578125,-0.375,0.125,14.25,-1.0,37.25,102.5,12.52252197265625,16.5,5.6750030517578125,-71.25,-0.4250001907348624,48.5,-0.6249999999999991,0.0
2019-09-22,2019-09-28,93.5,45.5199951171875,-0.439990234375,-1.5200012207031364,12.8,37.0,41.0,282.0,8.2,26.2,-2.42000732421875,109.0,-0.4599998474121101,65.8,-0.42000007629394387,96.66666666666667
2019-11-17,2019-11-23,2.25,26.9,-1.420001220703125,2.0800018310546875,7.8,9.0,18.4,-58.0,3.6,-2.8,-4.5,68.0,0.2,28.6,0.18000030517577983,93.5
2019-11-24,2019-11-30,42.0,-2.05999755859375,-4.45999755859375,6.439996337890625,9.2,6.6,49.4,132.0,31.0,17.2,10.2800048828125,-14.0,-0.04000015258789062,29.4,0.13999977111816478,2.25
2019-12-15,2019-12-21,40.5,-19.8,-9.55999755859375,1.239996337890625,-6.6,-7.6,-24.0,124.0,-13.4,-7.4,-9.5,-14.0,0.02000007629394531,-20.2,-0.7199996948242188,42.0
2019-12-29,2020-01-04,6.6,2.4,4.259997558593772,-1.8800048828125,-6.2,-1.4,18.2,106.0,-0.8,-6.8,-3.6799987792968865,130.0,-0.3,1.6,-0.9599998474121094,40.5
2020-01-05,2020-01-11,-31.0,-10.64000244140625,9.6,0.64000244140625,-31.4,-13.0,31.0,104.0,-20.0,5.4,-0.039996337890625,-152.8,-0.07999992370605469,-80.4,-1.1,6.6
2020-01-12,2020-01-18,-6.6,20.64000244140625,-5.8,1.3,8.8,12.4,55.6,-26.0,0.2,3.2,1.25999755859375,68.8,-0.16000022888183593,44.4,0.1,-31.0
2020-01-19,2020-01-25,-38.4,13.0,-2.44000244140625,-1.3,-1.2,2.8,-22.6,-38.0,-0.6,11.8,-4.1,-74.0,-0.2799999237060547,8.8,-0.22000045776367116,-6.6
2020-01-26,2020-02-01,-52.2,18.0,-7.899999999999977,-1.75999755859375,-40.2,11.8,-17.8,-100.0,-16.2,-20.4,-15.179998779296875,-99.8,-0.8599998474121093,-63.2,-0.939999771118164,-38.4
2020-02-02,2020-02-08,2.6666666666666665,23.4,-7.859997558593773,-1.820001220703125,-3.4,31.6,0.0,174.0,-8.4,8.8,-8.84000244140625,-52.0,-1.2200000762939454,43.0,-0.4799999237060561,-52.2
2020-02-23,2020-02-29,-34.25,-28.0,-10.0,0.560003662109375,-81.4,-5.4,-11.2,-426.0,-42.6,-25.0,-3.1800048828125,-213.6,-0.2800000190734863,-61.2,-0.4200000762939453,2.6666666666666665
2020-03-01,2020-03-07,-101.5,-46.75,-13.400001525878906,-8.925003051757812,-65.75,-38.25,-66.25,-472.5,-60.5,-32.25,0.5250015258789062,-164.75,-0.0499999523162844,-43.25,2.0250000953674325,-34.25
2020-03-08,2020-03-14,-95.0,-73.75,-21.900001525878906,-16.549999237060547,-82.75,-69.75,-283.75,-1332.5,-72.25,-115.75,-12.75,-580.75,-0.7750000357627865,-237.75,-1.7000002861022958,-101.5
2020-03-15,2020-03-21,12.8,22.0,-4.579998779296875,-4.380001831054687,29.0,0.6,-70.0,-124.0,4.6,-19.4,-12.359997558593756,-139.6,-0.3800000190734864,-9.8,0.16000022888183593,-95.0
2020-03-22,2020-03-28,-4.5,6.24000244140625,14.160003662109375,5.0800018310546875,37.0,21.6,-42.0,618.0,54.4,-3.2,4.9,323.6,0.4200000286102295,-40.8,0.02000007629394531,12.8
2020-03-29,2020-04-04,60.0,26.15999755859375,-4.84000244140625,11.539999389648438,-8.6,-23.8,37.6,342.0,10.8,22.2,-1.4,104.2,-0.04000000953674308,-14.2,-0.08000030517578124,-4.5
2020-04-12,2020-04-18,0.0,-46.333333333333336,4.26666259765625,4.266662597656269,55.0,0.3333333333333333,-37.333333333333336,43.333333333333336,11.333333333333334,-53.0,7.799997965494801,142.66666666666666,0.3666667143503825,-4.0,1.4666665395100924,60.0
2020-04-19,2020-04-25,1.3333333333333333,5.4,-3.979998779296875,-1.9199981689453183,38.6,-5.6,-40.6,-224.0,32.8,-8.6,4.579998779296886,51.4,-0.140000057220459,-31.8,-0.41999969482421945,0.0
2020-04-26,2020-05-02,20.4,30.0,2.133331298828125,3.899998982747396,34.333333333333336,41.0,179.33333333333334,316.6666666666667,12.666666666666666,71.0,11.93333943684894,24.0,0.10000006357828777,80.33333333333333,0.39999961853027344,1.3333333333333333
2020-05-03,2020-05-09,-4.4,-14.2,4.120001220703125,-2.2,-21.0,-1.6,-24.6,-394.0,-26.6,-6.0,1.4199951171875,-29.6,0.0,-20.0,-0.25999984741210935,20.4
2020-05-10,2020-05-16,-26.0,-5.4,-6.840002441406239,-0.6799987792968807,-29.6,-3.4,-35.0,186.0,-34.2,-34.6,3.7,-18.4,-0.12000002861022949,-24.0,-0.06000022888183594,-4.4
2020-05-17,2020-05-23,-112.33333333333331,-10.6,3.2,0.019998168945318185,32.6,-4.6,-8.2,-28.0,16.0,5.4,-4.45999755859375,-76.0,-0.04000000953674317,-78.2,0.9600002288818367,-26.0
2020-06-07,2020-06-13,-0.25,32.0,-9.949996948242188,1.4500007629394531,1.0,34.75,47.75,-72.5,11.25,-1.25,-1.25,35.5,-0.09999996423721313,110.25,-0.9999999999999991,-112.33333333333333
2020-06-14,2020-06-20,-13.499982833862305,13.6,-3.0800048828125,-1.1399993896484375,16.8,16.0,-6.8,-520.0,12.6,7.2,-1.65999755859375,18.6,0.0,-82.0,0.0,-0.25
2020-06-28,2020-07-04,41.5,6.400001525878906,-7.44000244140625,-0.2200000762939453,17.800013732910248,6.99999771118164,96.40000610351562,-352.0,3.399999237060547,25.600013732910156,-3.979997634887707,91.79995727539062,-0.5599999822676182,59.99996948242178,0.4599999308586128,-13.499982833862305
