first_day_in_week,last_day_in_week,ALBA_main_symb_weekly_mean_diff,FOX.TA_weekly_mean_diff_0.35,RLCO.TA_weekly_mean_diff_0.36,TUZA.TA_weekly_mean_diff_0.36,NVMI.TA_weekly_mean_diff_0.44
2019-10-27,2019-11-02,-36.0,70.0,5.0,-0.020000457763671875,-30.0
2019-11-03,2019-11-09,5.0,90.0,18.0,0.3599998474121094,126.0
2019-11-10,2019-11-16,-8.0,-170.0,-2.6,0.0,66.0
2019-11-17,2019-11-23,-11.8,150.0,19.2,-0.4799995422363281,-144.0
2019-11-24,2019-11-30,-26.6,-74.0,17.0,-0.12000045776367188,40.0
2019-12-01,2019-12-07,2.2,-126.0,14.2,0.1,10.0
2019-12-08,2019-12-14,-8.8,324.0,5.8,0.5,126.0
2019-12-15,2019-12-21,-14.8,54.0,-0.2,-0.2799995422363281,-2.0
2019-12-22,2019-12-28,27.8,10.0,-45.0,-0.28000030517578123,48.0
2019-12-29,2020-01-04,36.6,292.0,-5.4,0.14000015258789061,12.0
2020-01-05,2020-01-11,-9.2,98.0,28.6,0.5199996948242187,-4.0
2020-01-12,2020-01-18,-50.4,-2.0,2.2,0.38000030517578126,162.0
2020-01-19,2020-01-25,-20.4,254.0,-29.2,-0.6199996948242188,14.0
2020-01-26,2020-02-01,-35.6,-344.0,-8.2,-0.32000045776367186,-144.0
2020-02-02,2020-02-08,31.6,358.0,30.0,-0.5799995422363281,134.0
2020-02-09,2020-02-15,0.6,-176.0,9.6,0.1,-40.0
2020-02-16,2020-02-22,-21.6,-68.0,-3.6,-0.3600006103515625,-118.0
2020-02-23,2020-02-29,5.75,-436.0,-64.0,0.24000015258789062,-212.0
2020-03-01,2020-03-07,-47.25,-272.5,-59.0,-1.175000190734865,85.0
2020-03-08,2020-03-14,50.2,-877.5,-85.25,0.10000038146972834,-272.5
2020-03-15,2020-03-21,-6.8,-113.0,-35.2,-0.41999969482421873,-250.0
2020-03-22,2020-03-28,278.2,709.0,93.8,1.1399993896484375,360.0
2020-03-29,2020-04-04,-131.33333333333334,-440.0,-7.2,-0.21999969482421874,-16.0
2020-04-05,2020-04-11,-5.666666666666668,513.3333333333334,20.0,-0.7666664123535156,246.66666666666666
2020-04-12,2020-04-18,11.4,-503.3333333333333,-43.666666666666664,0.5333328247070312,120.0
2020-04-19,2020-04-25,22.33333333333333,224.0,36.2,0.4400001525878906,130.0
2020-04-26,2020-05-02,-9.6,316.6666666666667,-33.666666666666664,0.3333333333333333,90.0
2020-05-03,2020-05-09,18.0,48.0,-16.8,-0.04000015258789062,-6.0
2020-05-10,2020-05-16,16.0,-328.0,-21.8,1.1599998474121094,76.0
2020-05-17,2020-05-23,235.25,200.0,18.0,2.8400001525878906,402.0
2020-05-24,2020-05-30,88.6,90.0,39.0,-0.25,215.0
2020-05-31,2020-06-06,-57.0,-178.0,-22.8,-0.27999954223632956,-84.0
2020-06-07,2020-06-13,237.4,397.5,18.25,0.34999942779541193,22.5
2020-06-14,2020-06-20,-40.4,122.0,-12.2,0.04000015258789062,70.0
2020-06-21,2020-06-27,-7.0,-194.0,-9.4,0.5800003051757798,-186.0
2020-06-28,2020-07-04,228.2,-87.9998779296875,3.4000152587890624,-0.24000043869018411,127.9998779296875
2020-07-05,2020-07-11,-47.0,-116.0001220703125,1.7999847412109375,0.34000043869018415,2.0001220703125
2020-07-12,2020-07-18,-33.0,-88.0,6.6,0.23999938964843892,-92.0
2020-07-19,2020-07-25,10.0,130.0,1.0,1.7400009155273437,144.0
