first_day_in_week,last_day_in_week,HRON_main_symb_weekly_mean_diff,AZRM.TA_weekly_mean_diff_0.51_INT_ALRPR.TA_weekly_mean_diff_0.41_corr_0.71,NSTR.TA_weekly_mean_diff_0.55_INT_ALRPR.TA_weekly_mean_diff_0.41_corr_0.71,OPAL.TA_weekly_mean_diff_0.41_INT_ALRPR.TA_weekly_mean_diff_0.41_corr_0.74,PHOE.TA_weekly_mean_diff_0.47_INT_HARL.TA_weekly_mean_diff_0.47_corr_0.81,RVL.TA_weekly_mean_diff_0.36_INT_ASGR.TA_weekly_mean_diff_0.58_corr_0.72,SANO1.TA_weekly_mean_diff_0.47
2019-12-22,2019-12-28,800.0,-265.43979492187503,-109.2,-63.84005126953125,15.36,27.979149609357115,-86.0
2019-12-29,2020-01-04,0.0,52.80029296875,216.0,294.0,4.960000000000001,6.5040087890625,80.0
2020-01-05,2020-01-11,300.0,293.039892578125,739.2,396.0,628.0,-1.4760400390624997,130.0
2020-01-12,2020-01-18,-1360.0,4238.521020507812,65709.59999999999,-392.9210205078078,1.7600000000000002,18.0560595703125,-12.0
2020-01-19,2020-01-25,760.0,-630.0,-3864.0,20.159692382813457,0.72,-7.616015625,56.0
2020-01-26,2020-02-01,-2380.0,13.199462890625,23848.0,752.4002685546875,651.24,96.0,-144.0
2020-02-02,2020-02-08,620.0,-1566.1198486328124,-9696.800000000001,132.6801513671868,28.56,6.49600341796875,-78.0
2020-02-09,2020-02-15,880.0,255.5998535156257,-3282.0,-73.20007324218716,57.76,26.739965820312502,-30.0
2020-02-16,2020-02-22,1900.0,820.0383789062575,5743.6,893.0797973632812,168.48000000000002,-39.12427065432072,180.0
2020-02-23,2020-02-29,-4275.0,8067.957861328135,117471.59999999999,1226.3999999999999,3467.6400000000003,426.5340863281489,-360.0
2020-03-01,2020-03-07,-3965.0,25164.744567871094,166875.0,18912.5,3977.875,517.5477781677619,102.5
2020-03-08,2020-03-14,-3908.0,70686.43112182617,759020.25,30591.499999999993,5978.6875,1244.5311546325684,-690.0
2020-03-15,2020-03-21,284.0,245.8040795898434,7882.68,452.4879602050783,133.39999999999998,310.50044521484523,40.0
2020-03-22,2020-03-28,2738.0,7016.016459960933,32781.6,4129.728229980468,2012.8,89.1655990966782,214.0
2020-03-29,2020-04-04,3743.333333333334,2379.864224853515,10941.48,1127.3036627197287,-92.88,262.2,236.0
2020-04-05,2020-04-11,5953.333333333332,-3884.444444444445,-24983.11111111111,-278.0451931423588,69.0,121.906478949719,176.66666666666666
2020-04-12,2020-04-18,-298.0,3714.4976806640625,22610.0,76.00173950194772,623.3333333333334,121.73755655934414,643.3333333333334
2020-04-19,2020-04-25,1963.333333333333,116.56382324218751,-2215.44,60.09213256835897,1266.08,53.45281523436292,446.0
2020-04-26,2020-05-02,-910.0,5724.0,61344.0,1965.5980224609375,434.8888888888889,592.5665486653638,-26.666666666666668
2020-05-03,2020-05-09,-3414.0,3613.7999999999997,25677.0,-1023.2757678222655,558.6,42.10401855468749,-294.0
2020-05-10,2020-05-16,1426.0,1281.12,34213.439999999995,1939.2627734374998,1012.3200000000002,60.7543182617426,-78.0
2020-05-17,2020-05-23,-130.0,908.4238012695313,195.36,-16.28,521.6,30.391123486310246,270.0
2020-05-24,2020-05-30,-378.0,-0.0,0.0,-0.0,28.125,38.79254219052382,-5.0
2020-05-31,2020-06-06,-1600.0,125.4400390625,2268.8,-7.3599609375,638.4,23.034016113281247,-12.0
2020-06-07,2020-06-13,-2593.3349609375,3756.407356262207,-18487.5,240.15569686889648,11.25,9.203777542104971,5.0
2020-06-28,2020-07-04,1216.0009765625,-1234.8148599853141,5012.476293944288,288.6397381591669,60.5200331115621,57.83356271972511,-63.999877929688225
2020-07-05,2020-07-11,860.0,460.41726994278093,933.0425408925302,34.44407530965878,57.12006912230448,33.52965202943494,97.99987792968822
2020-07-12,2020-07-18,-234.0,76.863984375,53.760000000000005,3.7759960937500185,-88.8,140.22409008789808,-56.0
2020-07-19,2020-07-25,252.5,38.9480126953125,113.36000000000001,-5.096001586914048,89.88,-16.29157761231065,22.0
