first_day_in_week,last_day_in_week,BIG_main_symb_weekly_mean_diff,GZT.TA_weekly_mean_diff_0.36_INT_NSTR.TA_weekly_mean_diff_0.38_corr_0.95,HLMS.TA_weekly_mean_diff_0.43_INT_ATRY.TA_weekly_mean_diff_0.46_corr_0.72,ILDC.TA_weekly_mean_diff_0.43_INT_OPAL.TA_weekly_mean_diff_0.53_corr_0.72,MNRV.TA_weekly_mean_diff_0.43_INT_DRSL.TA_weekly_mean_diff_0.37_corr_0.73,NSTR.TA_weekly_mean_diff_0.38_INT_NAWI.TA_weekly_mean_diff_0.35_corr_0.73,OPAL.TA_weekly_mean_diff_0.53_INT_MMAN.TA_weekly_mean_diff_0.38_corr_0.74,SHOM.TA_weekly_mean_diff_0.5_INT_MRIN.TA_weekly_mean_diff_0.49_corr_0.72,SHOM.TA_weekly_mean_diff_0.5_INT_OPAL.TA_weekly_mean_diff_0.53_corr_0.77
2019-10-06,2019-10-12,276.6666666666667,32.666666666666664,222.30007934570312,56.700164794921875,-293.3376736111111,-348.4444444444444,-1.0500030517578125,65.78012301979781,4.830016886401508
2019-10-13,2019-10-19,-266.6666666666667,177.77777777777777,307.0437588161913,24.722222222222225,2266.666666666667,-11.11111111111111,1.6111077202690973,20.240094400942326,1.833343505859375
2019-10-20,2019-10-26,12.0,-100.0,142.244913736977,-32.0,6333.346896701389,-155.55555555555557,24.622233072916664,3.1688627116383685,11.022189670138888
2019-10-27,2019-11-02,228.0,198.0,-71.28,0.947999267578125,-4262.402343749985,210.0,4.739996337890625,50.133243847638184,12.734786303713918
2019-11-03,2019-11-09,-30.0,34.08,265.42389648437546,-9.648016357421875,100.0,329.44,1.4832007568329573,47.828818652331826,4.809611669927835
2019-11-10,2019-11-16,90.0,-86.0,-72.88393310546905,-24.65603271484375,5906.394775390656,-357.76,-3.808807299807668,-18.644796435534953,4.986402124017476
2019-11-17,2019-11-23,222.0,5308.799999999999,-47.36018066406166,108.87594848632813,312.0,906.9199999999998,26.88360617674887,13.47959042966366,12.332406762689352
2019-11-24,2019-11-30,-198.0,32.64,56.38800903320305,-0.9360021972656251,-950.396484375,-254.32,-2.2360052490234374,25.799999999999997,-3.1200073242187503
2019-12-01,2019-12-07,570.0,76.96000000000001,-80.67588134765626,8.663972167968836,666.0021972656207,-71.76,-0.7752030761540014,-12.947225048840046,-6.589184399396247
2019-12-08,2019-12-14,-294.0,1694.48,45.4,-122.8157031250007,-118.8005371093718,-689.28,2.2219946289062626,-10.812037353515624,10.301975097656308
2019-12-15,2019-12-21,-220.0,205.20000000000002,66.12406616210937,201.73577880859375,2756.0,46.800000000000004,-0.46760764159262186,7.94400146484375,44.22155966795981
2019-12-22,2019-12-28,154.0,40.04,-46.800000000000004,64.75205200195313,-80.80004882812472,32.24,4.4688072998076676,6.182381249964237,5.59361191406846
2019-12-29,2020-01-04,380.0,25.2,-476.0637451171875,13.72,4787.20166015624,27.36,-8.133988037109376,81.41918012693525,59.19196411132813
2020-01-05,2020-01-11,368.0,157.92000000000002,124.9919091796875,594.0,1263.59619140625,1024.8,-3.4200439453125,799.0200561523444,207.0000000000002
2020-01-12,2020-01-18,274.0,4747.44,51.52794433593776,1.1280029296874863,803.9978027343794,-5124.72,-3.2336106933652964,-172.2694695800544,10.095617040991684
2020-01-19,2020-01-25,-124.0,1702.0,14.352033691406092,11.039831542969273,233.1994628906282,-9.200000000000001,0.2111950195580821,-1.1591972167790128,0.20159750975669385
2020-01-26,2020-02-01,202.0,4943.04,156.0397705078125,-38.304013671875,-102.0,1062.3200000000002,13.81681328125298,61.38088041990996,11.559620825201273
2020-02-02,2020-02-08,50.0,7913.84,75.199951171875,-291.89633300781094,14337.999999999998,2596.2400000000002,11.42761826172465,257.712041015625,-32.82764267578704
2020-02-09,2020-02-15,-100.0,2997.56,-35.344091796875,127.85612792968689,1160.0,-1662.88,10.199222119152497,-144.7438916015625,-15.908804003894256
2020-02-16,2020-02-22,-362.0,553.6,-9.504096679687276,13.987996826171875,25433.98681640625,456.71999999999997,4.841998901367187,339.32787109375005,103.72633706055582
2020-02-23,2020-02-29,-735.0,22475.16,1988.24,291.2,9563.19580078125,14911.92,26.544013671874996,793.56,57.11999999999999
2020-03-01,2020-03-07,-1985.0,10828.125,1228.3683128356954,2061.25,43267.48352050781,10500.0,312.90637969970703,1137.6561641693115,859.5624351501465
2020-03-08,2020-03-14,-1116.0,238376.25,15850.124263763435,13320.874999999996,224416.51467895147,146620.3125,1416.7249069213865,4725.115740776062,1899.3875465393062
2020-03-15,2020-03-21,164.0,7254.0,379.90408203124946,2001.49582397461,25005.447475582296,10735.92,145.46237026367325,29.124778369143606,30.258380395509313
2020-03-22,2020-03-28,490.0,817.8000000000001,1111.93580078125,1670.3040930175782,51794.883085936264,-626.4,268.9584417358412,541.44,412.09602294921876
2020-03-29,2020-04-04,900.0,1568.1599999999999,1251.3,580.1758264160168,2830.40283203125,-237.6,-9.302404687497782,-145.93043959960343,-39.41280314940967
2020-04-05,2020-04-11,143.33333333333334,16768.555555555555,-525.7774692111545,351.3342793782523,51333.333333333336,8554.0,6.875578681110451,444.6665106879341,26.293394910999254
2020-04-12,2020-04-18,-436.0,2803.1111111111113,222.33333333333331,26.75616794162136,13579.995727539062,1401.5555555555557,-0.7289039441901308,-62.5,-3.333409627278409
2020-04-19,2020-04-25,760.0,2337.84,-0.9640588378906251,-105.57623291015553,-5129.599999999999,-1309.68,15.504438256844752,178.84012451171873,17.46325068362045
2020-04-26,2020-05-02,-196.0,1956.4444444444446,2438.467922634549,-485.33284505208337,-840.0,14263.111111111111,175.93315633138022,689.1864670138392,164.60864922424986
2020-05-03,2020-05-09,-780.0,4860.0,66.55202880859376,95.76397827148438,5017.6,-1728.0,-6.0255723632872105,37.2488027831912,-49.60356247559189
2020-05-10,2020-05-16,-20.0,5992.799999999999,679.1122290039062,600.6156201171874,-648.0,6020.04,34.739978027343746,362.70258974611755,179.72152402341365
2020-05-17,2020-05-23,425.0,4.8,57.980000000000004,-3.5600000000000005,2436.0,-52.8,-0.6039990234375,254.19610107421877,-2.7600000000000002
2020-05-24,2020-05-30,-120.0,4386.0,-92.53123283386246,39.375,3892.5,-365.5,6.75,3.883169097825885,18.393722534179688
2020-05-31,2020-06-06,922.5,6919.84,457.5042053222675,5.15197265625,-736.0,-5048.080000000001,-0.2943995605409041,10.5279541015625,0.5151950195431709
2020-06-07,2020-06-13,-268.0,4462.5,13.818826675415039,14.574966430664062,130.0,1300.5,19.013714294414928,-241.1605324554257,-15.270581741351634
2020-06-14,2020-06-20,-370.0,570.7199999999999,11.02400634765625,134.1599365234375,111.60000000000001,-90.47999999999999,8.359233837872743,-8.064082031249999,3.7152360351383686
2020-06-21,2020-06-27,80.0,474.32,1.3719641113282366,46.464016113281176,676.4,113.68,2.4640008544921836,46.7039794921875,19.571198193356363
2020-06-28,2020-07-04,-234.0,598.0812145998423,-65.78010616302491,237.79996726989577,-529.9987823484455,199.36064025891713,15.333987262725298,-41.400004119873046,-47.150006885528775
2020-07-05,2020-07-11,368.0,496.47916992210776,829.1879603195173,66.99195703123502,-543.9998291013726,1147.0392318726865,3.760394109346721,50.53438067015726,21.23518669585683
2020-07-12,2020-07-18,-114.0,-80.64,397.48791748047023,32.56796630859391,11847.2,154.56,1.769998168945321,-8.236848925799132,1.5576070312410668
2020-07-19,2020-07-25,-370.0,994.08,-0.4479980468749818,-56.056017456054526,2186.7999999999997,235.44000000000003,0.588000183105467,126.143857421875,16.93438613280649
