first_day_in_week,last_day_in_week,VNTZ_main_symb_weekly_mean_diff,MDPR.TA_weekly_mean_diff_0.36,ZUR.TA_weekly_mean_diff_0.36,DRAL.TA_weekly_mean_diff_-0.39,MNIN.TA_weekly_mean_diff_0.39,LAPD.TA_weekly_mean_diff_0.41,CFX.TA_weekly_mean_diff_-0.42,FIBIH.TA_weekly_mean_diff_-0.47,MDTR.TA_weekly_mean_diff_0.47,MGOR.TA_weekly_mean_diff_0.51,MRIN.TA_weekly_mean_diff_0.53,ALD.TA_weekly_mean_diff_0.55,MISH.TA_weekly_mean_diff_0.57,PLTF.TA_weekly_mean_diff_0.72
2019-05-12,2019-05-18,-0.012400001287460329,-1.6,-2.2,41.8,-6.4,-1.397998046875,0.7,38.0,2.5199951171875,26.6,-1.2200073242187273,-0.039996337890625,-53.6,-2.9399993896484373
2019-05-19,2019-05-25,0.006400001049041748,2.720001220703125,-23.2,-17.4,-2.15999755859375,1.197998046875,-0.120001220703125,-14.0,2.62000732421875,15.0,2.5599975585937274,-1.3,34.6,-1.2599998474121095
2019-05-26,2019-06-01,0.0069999992847442636,-0.3,-11.0,-108.2,-2.6199951171875,0.997998046875,1.9,-56.0,4.839990234375,48.4,-13.139996337890626,-6.6800048828125,-5.0,0.2799995422363281
2019-06-02,2019-06-08,-0.0019999980926513677,-2.4,-0.2,24.2,-1.8800048828125,-24.952001953125,-0.979998779296875,16.0,1.560009765625,7.2,3.84000244140625,2.820001220703125,-31.2,-0.7199996948242188
2019-06-09,2019-06-15,-0.003799998760223389,-0.320001220703125,-8.8,-26.6,-1.1199951171875,5.389990234375,-0.45999755859375,14.0,-1.7,34.0,-3.620001220703125,3.34000244140625,-4.4,-1.5400001525878906
2019-06-16,2019-06-22,-0.002000004053115856,1.820001220703125,0.4,76.2,-0.4800048828125,0.597998046875,-1.0,-24.0,-0.2800048828125,89.4,3.8,-3.820001220703125,6.0,0.059999847412109376
2019-06-23,2019-06-29,0.0006000041961670032,-1.94000244140625,5.0,-25.2,4.7,-0.2,-2.820001220703125,62.0,0.54000244140625,152.0,-3.120001220703125,-0.279998779296875,8.6,1.1
2019-06-30,2019-07-06,0.00019999742507934568,1.220001220703125,2.6,-28.4,2.6800048828125,0.6,-2.74000244140625,32.0,-3.15999755859375,-61.2,5.779998779296898,-6.8,198.4,0.3400001525878906
2019-07-07,2019-07-13,0.0009999990463256836,-4.0,-8.4,28.8,-7.6,-10.181982421875,2.2,-56.0,2.2199951171875,62.2,1.9,-2.279998779296875,16.4,0.4400001525878906
2019-07-14,2019-07-20,-0.002999997138977051,2.579998779296875,-13.619995117187523,-7.6,-3.62000732421875,-1.79599609375,-1.65999755859375,-66.0,4.2800048828125,-37.8,0.32000732421872724,-2.5200012207031364,-39.0,0.04000015258789062
