first_day_in_week,last_day_in_week,MGRT_main_symb_weekly_mean_diff,IES.TA_weekly_mean_diff_0.46,ORL.TA_weekly_mean_diff_0.48,PCBT.TA_weekly_mean_diff_0.5
2019-10-13,2019-10-19,-0.3333536783854167,250.0,-0.06666564941407198,0.100006103515625
2019-10-20,2019-10-26,0.8000030517578125,96.66666666666667,-0.9333343505859281,1.1999918619791856
2019-10-27,2019-11-02,-4.399993896484375,-164.0,-0.4,-3.2399963378906365
2019-11-03,2019-11-09,2.0,-24.0,-0.6399993896484375,0.920001220703125
2019-11-10,2019-11-16,-15.800003051757812,-380.0,0.25999755859375,-2.820001220703125
2019-11-17,2019-11-23,-3.0,278.0,-1.679998779296875,-8.679998779296875
2019-11-24,2019-11-30,-2.1999969482421875,-164.0,-0.1,-2.620001220703125
2019-12-01,2019-12-07,0.399993896484375,-298.0,-0.3,-0.720001220703125
2019-12-08,2019-12-14,0.600006103515625,356.0,-2.279998779296875,1.3
2019-12-15,2019-12-21,3.1999969482421875,-32.0,0.6399993896484375,-2.4400024414062385
2019-12-22,2019-12-28,3.0,-92.0,2.2399993896484376,12.5
2019-12-29,2020-01-04,0.0,76.0,0.9399993896484375,-3.379998779296886
2020-01-05,2020-01-11,-2.600006103515625,-234.0,0.420001220703125,-0.32000122070311365
2020-01-12,2020-01-18,-1.0,86.0,-2.3399993896484377,4.7
2020-01-19,2020-01-25,-3.5999908447265625,-26.0,-0.9,2.5400024414062385
2020-01-26,2020-02-01,1.8000030517578125,-486.0,-1.9600006103515626,-0.979998779296875
2020-02-02,2020-02-08,-0.4000091552734375,-96.0,-2.2600006103515624,-1.920001220703125
2020-02-09,2020-02-15,0.0,214.0,-1.1,2.84000244140625
2020-02-16,2020-02-22,-6.399993896484375,112.0,-1.3,1.079998779296875
2020-02-23,2020-02-29,-10.750007629394505,-616.0,-2.2,-6.279998779296875
2020-03-01,2020-03-07,-30.249996185302766,-497.5,-1.3500003814697266,-13.200004577636719
2020-03-08,2020-03-14,-7.800003051757824,-1000.0,-9.149999618530273,-19.875
2020-03-15,2020-03-21,2.400001525878918,-340.0,-0.7800003051757812,-10.879998779296875
2020-03-22,2020-03-28,-7.599998474121094,434.0,-2.1799995422363283,5.6
2020-03-29,2020-04-04,23.33333333333333,546.0,6.320000457763669,21.3
2020-04-05,2020-04-11,14.66667175292965,476.6666666666667,5.099998474121098,2.3333333333333335
2020-04-12,2020-04-18,-2.600006103515625,-206.66666666666666,-2.3666661580403647,-0.3333333333333333
2020-04-19,2020-04-25,5.0,122.0,0.6,2.5599975585937615
2020-04-26,2020-05-02,-5.999996948242165,260.0,-2.266667683919266,1.1000061035156061
2020-05-03,2020-05-09,-5.8,40.0,0.3400009155273409,3.1399963378906364
2020-05-10,2020-05-16,-1.0400024414062272,58.0,-0.48000030517578124,1.6800048828124887
2020-05-17,2020-05-23,4.925003051757784,160.0,0.46000061035155965,4.539996337890625
2020-05-24,2020-05-30,-1.3199951171875,-270.0,-3.225000381469723,4.625
2020-05-31,2020-06-06,-4.70001220703125,-102.0,0.1,-0.32000122070311365
2020-06-07,2020-06-13,-3.339996337890625,-85.0,-0.8000011444091797,1.2000045776367045
2020-06-14,2020-06-20,-3.75999755859375,-144.0,-2.4399993896484373,-1.820001220703125
2020-06-21,2020-06-27,-2.5199970245361327,-220.0,-0.3399993896484375,1.64000244140625
2020-06-28,2020-07-04,-1.7800029754638669,35.99993896484375,0.5399999618530273,-3.0400062561035157
2020-07-05,2020-07-11,1.4399963378906364,-349.99993896484375,-1.8400007247924806,0.46000137329102697
2020-07-12,2020-07-18,-2.1,60.0,1.020000457763669,-9.959997558593761
2020-07-19,2020-07-25,2.0500030517577983,-16.0,0.5199996948242216,10.120001220703125
