first_day_in_week,last_day_in_week,STCM_main_symb_weekly_mean_diff,ADGR.TA_weekly_mean_diff_0.38,PIU.TA_weekly_mean_diff_0.38,DRAL.TA_weekly_mean_diff_0.39,RANI.TA_weekly_mean_diff_0.39,BLSR.TA_weekly_mean_diff_0.4,PCBT.TA_weekly_mean_diff_0.43,KNFM.TA_weekly_mean_diff_0.45,SLGN.TA_weekly_mean_diff_0.45
2019-08-04,2019-08-10,-0.05999908447265625,1.5199951171875,-3.47999267578125,-16.6,2.4799987792968805,110.0,-4.540002441406227,4.8,5.4
2019-08-11,2019-08-17,0.4599990844726562,-5.0,4.07999267578125,-46.0,-0.2599975585937614,-108.0,-2.25999755859375,-4.0,0.0
2019-08-18,2019-08-24,0.6199996948242188,9.44000244140625,32.3800048828125,174.4,0.2399993896484432,120.0,2.0199951171875115,6.2,5.6
2019-08-25,2019-08-31,-0.01999969482421875,0.8,-5.8,26.0,-0.7399993896484431,-62.0,-4.879998779296886,0.0,-10.2
2019-09-01,2019-09-07,0.1600006103515625,1.24000244140625,-2.7,91.8,0.3799987792968807,106.0,-5.0,13.0,10.2
2019-09-08,2019-09-14,0.22500038146972656,1.3,6.5,14.6,-1.0399993896484374,-10.0,-5.079998779296875,2.4,24.0
2019-09-15,2019-09-21,0.5399993896484375,0.4250030517578125,28.0,-50.0,0.450000762939446,-5.0,2.6750030517578125,2.5,-9.0
2019-09-22,2019-09-28,0.8499984741210938,3.3,-8.6,1.4,0.17999877929688068,30.0,3.579998779296875,2.2,4.4
2019-09-29,2019-10-05,0.3000005086263021,-8.100006103515625,-5.5,65.5,-0.34999847412109375,5.0,8.699996948242188,-24.0,1.0
2019-10-06,2019-10-12,1.1666666666666667,15.26666259765625,25.333333333333332,175.66666666666666,2.3333333333333335,143.33333333333334,5.466664632161458,53.666666666666664,54.666666666666664
2019-10-13,2019-10-19,1.9666671752929688,26.333333333333332,2.6666666666666665,93.33333333333333,4.03333028157554,203.33333333333334,0.100006103515625,47.333333333333336,8.666666666666666
2019-10-20,2019-10-26,-0.33999938964844034,6.23333740234375,6.0,-65.66666666666667,0.4666646321614394,93.33333333333333,1.1999918619791856,-1.6666666666666667,0.6666666666666666
2019-10-27,2019-11-02,0.5799987792968807,-2.15999755859375,1.4,-56.2,0.4200012207031364,18.0,-3.2399963378906365,15.8,21.4
2019-11-03,2019-11-09,0.2200012207031193,-7.42000732421875,15.2,58.0,2.0200012207031137,10.0,0.920001220703125,14.0,-20.6
2019-11-10,2019-11-16,-0.3400009155273409,2.8800048828125,12.4,3.6,-0.14000244140625,-106.0,-2.820001220703125,-9.4,-3.2
2019-11-17,2019-11-23,-0.4,12.0199951171875,-8.6,63.8,1.9800048828125,140.0,-8.679998779296875,-8.4,17.4
2019-11-24,2019-11-30,0.08000030517578123,-7.75999755859375,10.2,69.8,4.3199951171875,92.0,-2.620001220703125,-27.0,-3.0
2019-12-01,2019-12-07,-0.31999969482421875,-5.15999755859375,-13.6,-46.0,-1.35999755859375,244.0,-0.720001220703125,-15.0,-1.0
2019-12-08,2019-12-14,-0.5600006103515625,2.14000244140625,6.8,5.8,-0.8,186.0,1.3,-30.0,16.2
2019-12-15,2019-12-21,-0.6599990844726562,-4.34000244140625,-19.0,-55.6,5.65999755859375,56.0,-2.4400024414062385,-3.8,20.2
2019-12-22,2019-12-28,3.2199996948242187,5.3800048828125,5.0,29.2,10.320001220703125,718.0,12.5,9.6,5.6
2019-12-29,2020-01-04,1.059999084472659,0.65999755859375,10.8,221.6,17.820001220703126,90.0,-3.379998779296886,4.0,16.6
2020-01-05,2020-01-11,0.3800003051757784,-2.3800048828125,3.4,111.8,-0.8,218.0,-0.32000122070311365,2.6,-7.6
2020-01-12,2020-01-18,-1.0,-0.17999267578125,2.6,-17.0,-4.920001220703125,-166.0,4.7,6.6,-9.6
2020-01-19,2020-01-25,-1.5599990844726592,-0.960009765625,-0.2,-122.6,-0.35999755859375,22.0,2.5400024414062385,1.4,-12.4
2020-01-26,2020-02-01,0.6199996948242216,-0.05999755859375,-16.6,32.0,-0.979998779296875,-178.0,-0.979998779296875,0.6,13.2
2020-02-02,2020-02-08,-0.5800003051757813,12.2,-17.6,127.6,2.05999755859375,-160.0,-1.920001220703125,-11.6,-3.2
2020-02-09,2020-02-15,-0.5399993896484403,-7.2199951171875,13.6,-158.2,-3.479998779296875,248.0,2.84000244140625,-12.4,12.0
2020-02-16,2020-02-22,-0.12000122070311932,3.95999755859375,-6.0,-19.4,2.75999755859375,194.0,1.079998779296875,-10.2,0.4
2020-02-23,2020-02-29,-1.8999996185302768,-18.6,-14.8,-210.4,-7.920001220703114,-422.0,-6.279998779296875,-28.6,-34.6
2020-03-01,2020-03-07,-2.674999237060547,-15.25,-33.8999938964844,-158.5,-7.199996948242202,-552.5,-13.200004577636719,-60.05000305175781,-37.0
2020-03-08,2020-03-14,-1.2,-50.75,-71.30000305175778,-431.5,-20.5,-2045.0,-19.875,-93.34999084472656,-131.5749969482422
2020-03-15,2020-03-21,0.7199996948242188,-25.020001220703126,-6.85999755859375,-112.2,-16.560000610351562,-652.0,-10.879998779296875,-20.32000732421874,-1.6800048828125
2020-03-22,2020-03-28,1.0199996948242187,2.74000244140625,11.039990234375,446.4,0.020001220703125,526.0,5.6,-4.8,21.54000244140625
2020-03-29,2020-04-04,1.6000010172526042,11.9,37.32000732421875,114.8,13.119998168945324,524.0,21.3,11.220001220703114,13.8
2020-04-05,2020-04-11,-0.3000005086263021,17.833323160807293,4.666666666666667,418.0,5.366668701171856,766.6666666666666,2.3333333333333335,15.43333943684892,55.666666666666664
2020-04-12,2020-04-18,0.2,-13.233327229817709,25.466654459635453,-341.6666666666667,4.73333740234375,-660.0,-0.3333333333333333,36.33333333333337,12.333333333333334
2020-04-19,2020-04-25,-0.3333333333333333,2.64000244140625,3.3,-108.8,1.479998779296875,-344.0,2.5599975585937615,-16.74000244140625,-8.2
2020-04-26,2020-05-02,0.4,24.733327229817707,16.46667480468746,-55.0,6.799997965494792,650.0,1.1000061035156061,39.599995930989586,50.333333333333336
2020-05-03,2020-05-09,0.5600006103515625,-3.35999755859375,4.2,-76.0,1.479998779296875,412.0,3.1399963378906364,-15.6199951171875,35.6
2020-05-10,2020-05-16,-0.6600006103515625,-15.1,-10.6,-79.2,-8.279998779296875,-350.0,1.6800048828124887,-25.68000488281249,-14.8
2020-05-17,2020-05-23,-0.6499996185302734,1.779998779296875,3.8,127.0,2.279998779296875,104.0,4.539996337890625,10.480004882812466,23.2
2020-05-24,2020-05-30,1.1199996948242188,7.32500457763669,-19.875,104.25,0.0500030517578125,137.5,4.625,6.500000000000028,18.75
2020-05-31,2020-06-06,-0.6499996185302734,-12.240002441406228,-6.080004882812477,13.8,2.539996337890625,-448.0,-0.32000122070311365,-9.64000244140625,-1.0
2020-06-07,2020-06-13,-2.2800003051757813,-9.25,7.725006103515597,-171.75,-0.5499954223632812,-212.5,1.2000045776367045,-7.724998474121094,-41.0
2020-06-14,2020-06-20,-0.4600006103515625,-1.820001220703125,12.0,-90.2,-3.94000244140625,-214.0,-1.820001220703125,0.43999633789063636,-6.902001953125
2020-06-21,2020-06-27,1.0000009059906003,0.64000244140625,-7.2,-79.2,-6.099999999999989,-332.0,1.64000244140625,-8.0,1.9820068359375
2020-06-28,2020-07-04,0.05999970436096193,4.379997634887696,-0.9000022888183594,177.3999450683594,12.200001716613746,641.9999389648438,-3.0400062561035157,-12.859995651245129,8.919997406005859
2020-07-05,2020-07-11,0.01999969482421875,-9.59999885559082,-4.399997711181641,4.000054931640625,-1.3200029373168831,-149.99993896484375,0.46000137329102697,7.519999313354492,-15.800002288818359
2020-07-12,2020-07-18,-0.31999969482421875,-0.920001220703125,6.14000244140625,71.6,6.3,154.0,-9.959997558593761,4.5,-4.8
2020-07-19,2020-07-25,-0.20000076293945312,-5.220001220703125,-1.4,5.0,-6.539996337890625,-238.0,10.120001220703125,1.0,16.799991607666016
