first_day_in_week,last_day_in_week,CANF_main_symb_weekly_mean_diff,SFET.TA_weekly_mean_diff_0.36,FRSX.TA_weekly_mean_diff_0.38,SPNTC.TA_weekly_mean_diff_0.38,IGLD.TA_weekly_mean_diff_0.47,BCOM.TA_weekly_mean_diff_0.52
2019-08-04,2019-08-10,-0.12000007629394603,-8.0,-1.840000915527341,-2.8199951171875,-158.0,-4.420001220703125
2019-08-11,2019-08-17,-0.4400001525878899,-0.8,-3.3199996948242214,-43.620007324218726,-192.0,-9.339996337890625
2019-08-18,2019-08-24,0.6,1.6,1.5600006103515625,11.440002441406227,-504.0,10.919995117187511
2019-08-25,2019-08-31,-0.6399997711181641,0.4,-1.340000915527341,-4.6199951171875,288.4,-10.439996337890637
2019-09-01,2019-09-07,1.0200000762939432,-6.8,0.4,-4.3,-130.4,-2.74000244140625
2019-09-08,2019-09-14,-0.6249999999999991,-3.2,-0.5799987792968807,-7.6,-134.6,3.960003662109375
2019-09-15,2019-09-21,-0.4200000762939439,-1.0,2.75,0.375,2.25,-1.2250061035156108
2019-09-22,2019-09-28,-1.4000005722045898,-1.2,-1.140000915527341,3.6,-114.4,4.6600036621093635
2019-09-29,2019-10-05,0.7333335876464832,-3.0,-0.5,12.449981689453125,-64.0,-3.400009155273409
2019-10-06,2019-10-12,-0.03333346048990885,0.0,-2.0999984741210986,11.800008138020834,-162.33333333333334,-3.399993896484394
2019-10-13,2019-10-19,-0.20000012715657434,-3.3333333333333335,1.233332316080734,11.133321126302084,-287.3333333333333,5.866668701171875
2019-10-20,2019-10-26,0.6,-1.266667683919266,0.10000101725259943,-0.5333251953125,-188.66666666666666,-5.200002034505208
2019-10-27,2019-11-02,-0.1799999237060554,-8.259999084472659,-0.6200012207031194,-4.55999755859375,-181.6,-4.1
2019-11-03,2019-11-09,-0.1200000762939446,-2.0600006103515627,-1.0399993896484403,1.9,41.6,30.260003662109376
2019-11-10,2019-11-16,0.18000030517577986,-1.6,-1.3199996948242188,1.07999267578125,-106.4,12.3
2019-11-17,2019-11-23,0.13999977111816478,-0.01999969482421875,-1.3199996948242188,-4.65999755859375,-10.0,-9.82000732421875
2019-11-24,2019-11-30,3.7200000762939447,0.7,-0.120001220703125,-12.45999755859375,238.4,4.6800048828125
2019-12-01,2019-12-07,-1.8400001525878904,-2.4400001525878907,-0.9,-12.1,-177.6,10.0199951171875
2019-12-08,2019-12-14,-0.7199996948242188,-2.0599998474121093,0.24000091552734376,-0.220001220703125,-134.2,-2.87999267578125
2019-12-15,2019-12-21,1.5,0.0,-0.34000091552734374,-6.1,-29.6,-12.3800048828125
2019-12-22,2019-12-28,-0.9599998474121094,-1.379999923706054,-0.9,9.079998779296886,-100.2,14.2800048828125
